user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
abboip,direct_ctw,30,linear,,7.5,1007.0,0.9381641461214135,0.5486067801758595,2.255856605744244,2.426025423079756
abboip,direct_ctw,30,nearest,,7.5,114.0,0.9325572650103501,0.47566859602500683,2.272584054157855,2.4605073830035478
abboip,markov_order_1,30,linear,,7.5,1007.0,0.9221284374062377,0.6640260899836729,2.255856605744244,2.426025423079756
abboip,markov_order_1,30,nearest,,7.5,114.0,0.882291081150543,0.6939129010435606,2.272584054157855,2.4605073830035478
abboip,markov_order_2,30,linear,,7.5,1007.0,0.9158115377932387,0.708012454480051,2.255856605744244,2.426025423079756
abboip,markov_order_2,30,nearest,,7.5,114.0,0.874041060603537,0.7325487957975277,2.272584054157855,2.4605073830035478
abboip,vq_ctw,30,linear,256.0,7.5,1007.0,1.0,0.0,4.720506177083804,4.720506177083804
abboip,vq_ctw,30,nearest,256.0,7.5,114.0,0.931602956098596,0.3700799778557967,6.32732873588336,6.32732873588336
abboip,vq_ctw,30,linear,512.0,7.5,1007.0,1.0,0.0,4.78718477187436,4.78718477187436
abboip,vq_ctw,30,nearest,512.0,7.5,114.0,0.9715238609587182,0.26469889554702236,5.671330198382951,5.671330198382951
abboip,vq_ctw,30,linear,1024.0,7.5,1007.0,1.0,0.0,4.638434474291037,4.638434474291037
abboip,vq_ctw,30,nearest,1024.0,7.5,114.0,0.9999999999987437,0.117844623865212,5.097446167449615,5.097446167449615
abcoij,direct_ctw,30,linear,,7.5,574.0,0.9907709663956855,0.08486670281185794,2.0584399903601023,2.259849636143439
abcoij,markov_order_1,30,linear,,7.5,574.0,0.9899131287519801,0.09145535926723214,2.0584399903601023,2.259849636143439
abcoij,markov_order_2,30,linear,,7.5,574.0,0.9887898409787568,0.09992318368669156,2.0584399903601023,2.259849636143439
abcoij,vq_ctw,30,linear,256.0,7.5,574.0,1.0,0.0,3.7706059322320833,3.7706059322320833
abcoij,vq_ctw,30,linear,512.0,7.5,574.0,1.0,0.0,3.827700104780465,3.827700104780465
abcoij,vq_ctw,30,linear,1024.0,7.5,574.0,1.0,0.0,3.6719813230014604,3.6719813230014604
abdrem,direct_ctw,30,linear,,7.5,1003.0,0.8615286302221693,1.2151074620567837,2.2569865716156294,2.452042721925426
abdrem,direct_ctw,30,nearest,,7.5,139.0,0.9017935523308315,0.627108083700285,2.447913486203811,2.6202777562582984
abdrem,markov_order_1,30,linear,,7.5,1003.0,0.8048578916926359,1.6068245109044081,2.2569865716156294,2.452042721925426
abdrem,markov_order_1,30,nearest,,7.5,139.0,0.8415464199718626,0.8595317854832476,2.447913486203811,2.6202777562582984
abdrem,markov_order_2,30,linear,,7.5,1003.0,0.7841884579096359,1.7419332445842097,2.2569865716156294,2.452042721925426
abdrem,markov_order_2,30,nearest,,7.5,139.0,0.8429694357293908,0.8608634440609838,2.447913486203811,2.6202777562582984
abdrem,vq_ctw,30,linear,256.0,7.5,1003.0,1.0,0.0,8.038163145007575,8.038163145007575
abdrem,vq_ctw,30,nearest,256.0,7.5,139.0,0.8693037388320467,0.6727754831296612,7.38014100433771,7.38014100433771
abdrem,vq_ctw,30,linear,512.0,7.5,1003.0,1.0,0.0,7.987056349132752,7.987056349132752
