dominant_mode,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
taxi,direct_ctw,15,linear,,5.0,1007860.0,0.8777041873526822,1.1313994458149195,1.6401038707318103,1.8019028636133319
taxi,direct_ctw,15,nearest,,5.0,88930.0,0.8382683710342502,0.9557902434886797,1.6258184254793913,1.8072287314460396
taxi,markov_order_1,15,linear,,5.0,1007860.0,0.8251212598636396,1.5229005450640332,1.6401038707318103,1.8019028636133319
taxi,markov_order_1,15,nearest,,5.0,88930.0,0.703751722088448,1.4708644881760338,1.6258184254793913,1.8072287314460396
taxi,markov_order_2,15,linear,,5.0,1007860.0,0.8033717638195219,1.6764531012167019,1.6401038707318103,1.8019028636133319
taxi,markov_order_2,15,nearest,,5.0,88930.0,0.7035011738819896,1.4746815967932272,1.6258184254793913,1.8072287314460396
taxi,vq_ctw,15,linear,256.0,5.0,1007860.0,0.9941255899074668,0.06420310164039626,4.694090858655133,4.694090858655133
taxi,vq_ctw,15,linear,512.0,5.0,1007860.0,0.9821170897750751,0.17448978731166154,4.498696466392354,4.498696466392354
taxi,vq_ctw,15,linear,1024.0,5.0,1007860.0,0.9941162095519377,0.06130496159660798,4.785004375455638,4.785004375455638
taxi,vq_ctw,15,nearest,256.0,5.0,88930.0,0.9810442553177924,0.20837777749751232,4.296847467214282,4.296847467214282
taxi,vq_ctw,15,nearest,512.0,5.0,88930.0,0.9975417174115369,0.07397460814227685,4.3512524544368425,4.3512524544368425
taxi,vq_ctw,15,nearest,1024.0,5.0,88930.0,0.9940471720286248,0.06893147183885405,4.465629398563786,4.465629398563786
