sample_interval_min,interpolation_method,codebook_size,raw_code,num_occurrences,dominant_mode,top_modes,mean_speed_kmh,mean_step_km,mean_radius_of_gyration_km
15,linear,256,22,1314,taxi,taxi:1314,19.776697158813477,4.944174289703369,7.711532195409139
15,linear,256,27,991669,taxi,taxi:991669,7.141660213470459,1.7854150533676147,5.904532668073084
15,linear,256,31,13211,taxi,taxi:13211,14.154255867004395,3.5385639667510986,7.246696941434421
15,linear,256,44,6,taxi,taxi:6,41.54710388183594,10.386775970458984,7.2028623421986895
15,linear,256,144,1660,taxi,taxi:1660,35.78746795654297,8.946866989135742,7.233985545836299
15,linear,512,3,1,taxi,taxi:1,17.508296966552734,4.377074241638184,12.085443496704102
15,linear,512,35,2934,taxi,taxi:2934,17.384700775146484,4.346175193786621,7.046069405033382
15,linear,512,46,635,taxi,taxi:635,15.337340354919434,3.8343350887298584,7.897762530619704
15,linear,512,61,2704,taxi,taxi:2704,27.131790161132812,6.782947540283203,7.0384686512530905
15,linear,512,98,18,taxi,taxi:18,5.656591892242432,1.414147973060608,7.700317780176799
15,linear,512,170,261,taxi,taxi:261,15.439867973327637,3.859966993331909,7.723617120720874
15,linear,512,220,1,taxi,taxi:1,31.36460304260254,7.841150760650635,9.711352348327637
15,linear,512,281,51,taxi,taxi:51,16.191755294799805,4.047938823699951,7.151921758464739
15,linear,512,289,2,taxi,taxi:2,31.37900161743164,7.84475040435791,9.711352348327637
15,linear,512,299,1157,taxi,taxi:1157,40.387794494628906,10.096948623657227,7.142094896080788
15,linear,512,327,41,taxi,taxi:41,31.511676788330078,7.8779191970825195,8.00529032218747
15,linear,512,370,3625,taxi,taxi:3625,11.337139129638672,2.834284782409668,7.657658400568469
15,linear,512,374,29774,taxi,taxi:29774,4.692187309265137,1.1730468273162842,7.204587822893496
15,linear,512,381,17735,taxi,taxi:17735,12.26613998413086,3.066534996032715,6.674247084888633
15,linear,512,426,1862,taxi,taxi:1862,16.210933685302734,4.052733421325684,7.311275705102947
15,linear,512,461,414,taxi,taxi:414,5.060587406158447,1.2651468515396118,10.118664632096959
15,linear,512,496,946645,taxi,taxi:946645,7.116686820983887,1.7791717052459717,5.851138999319212
15,linear,1024,84,990020,taxi,taxi:990020,7.139752388000488,1.784938097000122,5.900276300010603
15,linear,1024,169,9547,taxi,taxi:9547,11.622175216674805,2.905543804168701,7.303088339308838
15,linear,1024,222,1466,taxi,taxi:1466,30.84653091430664,7.71163272857666,7.438791619316455
15,linear,1024,315,3500,taxi,taxi:3500,21.390283584594727,5.347570896148682,7.7611908101354325
15,linear,1024,815,504,taxi,taxi:504,11.120104789733887,2.7800261974334717,8.275091934771766
15,linear,1024,862,2306,taxi,taxi:2306,20.058340072631836,5.014585018157959,6.811561488681323
15,linear,1024,946,517,taxi,taxi:517,6.571824550628662,1.6429561376571655,8.125794592401737
15,nearest,256,17,2,taxi,taxi:2,0.0,0.0,4.498685956001282
15,nearest,256,28,3,taxi,taxi:3,6.168876647949219,1.5422191619873047,4.33801285425822
15,nearest,256,38,63,taxi,taxi:63,8.981807708740234,2.2454519271850586,5.23497934568496
15,nearest,256,53,1212,taxi,taxi:1212,30.813783645629883,7.703445911407471,6.248909827112758
15,nearest,256,55,84058,taxi,taxi:84058,10.452889442443848,2.613222360610962,3.853686280794449
15,nearest,256,81,2066,taxi,taxi:2066,10.46108341217041,2.6152708530426025,3.6564722611620257
15,nearest,256,141,1305,taxi,taxi:1305,49.506385803222656,12.376596450805664,5.4560424028228525
15,nearest,256,146,221,taxi,taxi:221,16.2104434967041,4.052610874176025,5.738966688311478
15,nearest,512,196,87559,taxi,taxi:87559,10.861167907714844,2.715291976928711,3.876840216404521
15,nearest,512,274,7,taxi,taxi:7,11.360613822937012,2.840153455734253,4.444461141313825
15,nearest,512,286,1170,taxi,taxi:1170,45.06251907348633,11.265629768371582,6.159133775010068
15,nearest,512,318,4,taxi,taxi:4,9.244651794433594,2.3111629486083984,5.944637298583984
15,nearest,512,373,164,taxi,taxi:164,13.485471725463867,3.371367931365967,5.949317500358674
15,nearest,512,419,26,taxi,taxi:26,12.933938980102539,3.2334847450256348,4.321423227970417
15,nearest,1024,194,279,taxi,taxi:279,30.55292320251465,7.638230800628662,5.8544583115526425
15,nearest,1024,431,1,taxi,taxi:1,0.789753258228302,0.1974383145570755,5.00986909866333
15,nearest,1024,441,12,taxi,taxi:12,9.928730964660645,2.482182741165161,5.975820342699687
15,nearest,1024,576,2,taxi,taxi:2,5.536515235900879,1.3841288089752197,5.778386116027832
15,nearest,1024,616,623,taxi,taxi:623,53.5404167175293,13.385104179382324,6.420744834321268
15,nearest,1024,667,87475,taxi,taxi:87475,10.981934547424316,2.745483636856079,3.8725809716265283
15,nearest,1024,715,28,taxi,taxi:28,8.718430519104004,2.179607629776001,5.56537492786135
15,nearest,1024,883,44,taxi,taxi:44,11.813602447509766,2.9534006118774414,6.064136158336293
15,nearest,1024,942,466,taxi,taxi:466,6.354039669036865,1.5885099172592163,6.229413107229405
