scenario_subdir,user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
tol_10km_int_5min,abboip,direct_ctw,5,nearest,,10.0,95.0,0.9274646619734872,0.558639468628832,4.457984132555924,4.585647491033944
tol_10km_int_5min,abboip,markov_order_1,5,nearest,,10.0,95.0,0.8671210848018583,0.8350761194856174,4.457984132555924,4.585647491033944
tol_10km_int_5min,abboip,markov_order_2,5,nearest,,10.0,95.0,0.8668982434273316,0.7966660813962378,4.457984132555924,4.585647491033944
tol_10km_int_5min,abboip,vq_ctw,5,nearest,256.0,10.0,95.0,1.0,0.0,8.01575793405991,8.01575793405991
tol_10km_int_5min,abboip,vq_ctw,5,nearest,512.0,10.0,95.0,1.0,0.0,8.916789325199453,8.916789325199453
tol_10km_int_5min,abboip,vq_ctw,5,nearest,1024.0,10.0,95.0,1.0,0.0,8.619543638078909,8.619543638078909
tol_10km_int_5min,abdrem,direct_ctw,5,nearest,,10.0,36.0,0.9024678352276304,0.8112012075938089,4.937324973883035,5.00847545005332
tol_10km_int_5min,abdrem,markov_order_1,5,nearest,,10.0,36.0,0.8864539024058561,1.113596257518114,4.937324973883035,5.00847545005332
tol_10km_int_5min,abdrem,markov_order_2,5,nearest,,10.0,36.0,0.8864539024058561,0.9944426674247512,4.937324973883035,5.00847545005332
tol_10km_int_5min,abdrem,vq_ctw,5,nearest,256.0,10.0,36.0,1.0,0.0,8.079976881941125,8.079976881941125
tol_10km_int_5min,abdrem,vq_ctw,5,nearest,512.0,10.0,36.0,1.0,0.0,9.565235703839171,9.565235703839171
tol_10km_int_5min,abdrem,vq_ctw,5,nearest,1024.0,10.0,36.0,1.0,0.0,9.348244595153416,9.348244595153416
tol_10km_int_5min,abgibo,direct_ctw,5,nearest,,10.0,85.0,0.9069420662826412,0.5310986073066495,4.7447313857474,4.86437035234652
tol_10km_int_5min,abgibo,markov_order_1,5,nearest,,10.0,85.0,0.8412213945661332,0.7960702681486178,4.7447313857474,4.86437035234652
tol_10km_int_5min,abgibo,markov_order_2,5,nearest,,10.0,85.0,0.8287227902941043,0.82794353381379,4.7447313857474,4.86437035234652
tol_10km_int_5min,abgibo,vq_ctw,5,nearest,256.0,10.0,85.0,1.0,0.0,8.796122801687964,8.796122801687964
tol_10km_int_5min,abgibo,vq_ctw,5,nearest,512.0,10.0,85.0,1.0,0.0,10.013709927033691,10.013709927033691
tol_10km_int_5min,abgibo,vq_ctw,5,nearest,1024.0,10.0,85.0,1.0,0.0,9.527738200771129,9.527738200771129
tol_10km_int_5min,abjool,direct_ctw,5,nearest,,10.0,18.0,1.0,0.0,3.757308179939786,3.823362834992365
tol_10km_int_5min,abjool,markov_order_1,5,nearest,,10.0,18.0,1.0,0.0,3.757308179939786,3.823362834992365
tol_10km_int_5min,abjool,markov_order_2,5,nearest,,10.0,18.0,1.0,0.0,3.757308179939786,3.823362834992365
tol_10km_int_5min,abjool,vq_ctw,5,nearest,256.0,10.0,18.0,1.0,0.0,7.025399847292368,7.025399847292368
tol_10km_int_5min,abjool,vq_ctw,5,nearest,512.0,10.0,18.0,1.0,0.0,8.149461237529163,8.149461237529163
tol_10km_int_5min,abjool,vq_ctw,5,nearest,1024.0,10.0,18.0,1.0,0.0,8.117578491545755,8.117578491545755
tol_10km_int_5min,abmuya,direct_ctw,5,nearest,,10.0,96.0,0.9829485239708964,0.2913088100986614,4.110267368933605,4.198361370325709
tol_10km_int_5min,abmuya,markov_order_1,5,nearest,,10.0,96.0,0.9704203768387296,0.3518123805288662,4.110267368933605,4.198361370325709
tol_10km_int_5min,abmuya,markov_order_2,5,nearest,,10.0,96.0,0.966128184654396,0.3093300375104118,4.110267368933605,4.198361370325709
tol_10km_int_5min,abmuya,vq_ctw,5,nearest,256.0,10.0,96.0,1.0,0.0,7.552385731106618,7.552385731106618
tol_10km_int_5min,abmuya,vq_ctw,5,nearest,512.0,10.0,96.0,1.0,0.0,8.531392289030103,8.531392289030103
tol_10km_int_5min,abmuya,vq_ctw,5,nearest,1024.0,10.0,96.0,1.0,0.0,7.867893171096842,7.867893171096842
