Epoch 1: Recon_RMSE_km=3.265007 target_RMSE_km=10.000000, VQ=160.626165, Pred=7.003897, Ent=6.509631
Epoch 2: Recon_RMSE_km=9.043916 target_RMSE_km=10.000000, VQ=2.785202, Pred=0.135367, Ent=0.675093
Epoch 3: Recon_RMSE_km=8.452044 target_RMSE_km=10.000000, VQ=0.862256, Pred=0.001914, Ent=0.150762
Epoch 4: Recon_RMSE_km=8.629115 target_RMSE_km=10.000000, VQ=0.374625, Pred=0.000297, Ent=0.014493
Epoch 5: Recon_RMSE_km=8.533439 target_RMSE_km=10.000000, VQ=0.397033, Pred=0.001523, Ent=0.029313
Epoch 6: Recon_RMSE_km=8.590870 target_RMSE_km=10.000000, VQ=0.329194, Pred=0.001151, Ent=0.012464
Epoch 7: Recon_RMSE_km=8.370595 target_RMSE_km=10.000000, VQ=0.110497, Pred=0.000039, Ent=0.000343
Epoch 8: Recon_RMSE_km=8.308866 target_RMSE_km=10.000000, VQ=0.383941, Pred=0.002229, Ent=0.039021
Epoch 9: Recon_RMSE_km=7.843482 target_RMSE_km=10.000000, VQ=0.076440, Pred=0.000001, Ent=0.000032
Epoch 10: Recon_RMSE_km=7.868188 target_RMSE_km=10.000000, VQ=0.039461, Pred=0.000000, Ent=0.000000
Epoch 11: Recon_RMSE_km=7.919302 target_RMSE_km=10.000000, VQ=0.285657, Pred=0.001625, Ent=0.026966
Epoch 12: Recon_RMSE_km=7.449292 target_RMSE_km=10.000000, VQ=0.076717, Pred=0.000000, Ent=0.000003
Epoch 13: Recon_RMSE_km=7.435813 target_RMSE_km=10.000000, VQ=0.043893, Pred=0.000000, Ent=0.000009
Epoch 14: Recon_RMSE_km=7.326287 target_RMSE_km=10.000000, VQ=0.027098, Pred=0.000000, Ent=0.000000
Epoch 15: Recon_RMSE_km=7.317408 target_RMSE_km=10.000000, VQ=0.017404, Pred=0.000000, Ent=0.000000
Epoch 16: Recon_RMSE_km=7.311869 target_RMSE_km=10.000000, VQ=0.011359, Pred=0.000000, Ent=0.000000
Epoch 17: Recon_RMSE_km=8.307602 target_RMSE_km=10.000000, VQ=0.053054, Pred=0.000150, Ent=0.001869
Epoch 18: Recon_RMSE_km=8.106910 target_RMSE_km=10.000000, VQ=0.028891, Pred=0.000000, Ent=0.000068
Epoch 19: Recon_RMSE_km=7.860522 target_RMSE_km=10.000000, VQ=0.013508, Pred=0.000000, Ent=0.000015
Epoch 20: Recon_RMSE_km=7.804872 target_RMSE_km=10.000000, VQ=0.008272, Pred=0.000000, Ent=0.000000
Epoch 21: Recon_RMSE_km=7.795034 target_RMSE_km=10.000000, VQ=0.005967, Pred=0.000000, Ent=0.000000
Epoch 22: Recon_RMSE_km=7.782204 target_RMSE_km=10.000000, VQ=0.004287, Pred=0.000000, Ent=0.000000
Epoch 23: Recon_RMSE_km=7.767424 target_RMSE_km=10.000000, VQ=0.003024, Pred=0.000000, Ent=0.000000
Epoch 24: Recon_RMSE_km=7.995766 target_RMSE_km=10.000000, VQ=0.026316, Pred=0.000090, Ent=0.000601
Epoch 25: Recon_RMSE_km=8.395919 target_RMSE_km=10.000000, VQ=0.032770, Pred=0.000000, Ent=0.000011
Epoch 26: Recon_RMSE_km=8.038086 target_RMSE_km=10.000000, VQ=0.014969, Pred=0.000000, Ent=0.000009
Epoch 27: Recon_RMSE_km=8.222223 target_RMSE_km=10.000000, VQ=0.095792, Pred=0.000376, Ent=0.002690
Epoch 28: Recon_RMSE_km=8.221145 target_RMSE_km=10.000000, VQ=0.045502, Pred=0.000000, Ent=0.000000
Epoch 29: Recon_RMSE_km=8.087488 target_RMSE_km=10.000000, VQ=0.024233, Pred=0.000000, Ent=0.000006
Epoch 30: Recon_RMSE_km=8.336817 target_RMSE_km=10.000000, VQ=0.051899, Pred=0.000091, Ent=0.000375
Epoch 31: Recon_RMSE_km=8.024277 target_RMSE_km=10.000000, VQ=0.015074, Pred=0.000000, Ent=0.000000
