user_id,sample_interval_min,interpolation_method,taxi
ebenfr,15,nearest,777
ebrulr,15,linear,2015
ebrulr,15,nearest,972
ebstic,15,linear,2015
ebstic,15,nearest,660
eccest,15,linear,2014
eccest,15,nearest,1073
ecdiwo,15,linear,2015
ecdiwo,15,nearest,1046
ecfesy,15,linear,2015
ecfesy,15,nearest,1244
ecforj,15,linear,2013
ecforj,15,nearest,1173
ecgojt,15,linear,2015
ecgojt,15,nearest,1176
ecjeod,15,linear,2015
ecjeod,15,nearest,1049
eckeck,15,linear,1707
eckeck,15,nearest,699
ecnopl,15,linear,2013
ecnopl,15,nearest,1140
eddreb,15,linear,2012
eddreb,15,nearest,1010
edeejd,15,linear,2015
edeejd,15,nearest,1142
edglev,15,linear,2015
edglev,15,nearest,1130
edgrat,15,linear,2015
edgrat,15,nearest,1192
edjiye,15,linear,2015
edjiye,15,nearest,1362
edlyxy,15,linear,2015
edlyxy,15,nearest,1136
edmugr,15,linear,2001
edmugr,15,nearest,1234
ednill,15,linear,2014
ednill,15,nearest,1290
edodbl,15,linear,2015
edodbl,15,nearest,1036
edombo,15,linear,246
edombo,15,nearest,130
edrafs,15,linear,286
edrafs,15,nearest,195
eedigk,15,linear,2015
eedigk,15,nearest,1213
eefayb,15,linear,2013
eefayb,15,nearest,1013
eegcef,15,linear,1924
eegcef,15,nearest,1046
eemafb,15,linear,2013
eemafb,15,nearest,474
eenjou,15,linear,2015
eenjou,15,nearest,1066
eersdo,15,linear,2015
eersdo,15,nearest,1171
eesbaj,15,linear,2015
eesbaj,15,nearest,1256
efcati,15,linear,1980
efcati,15,nearest,1128
effneo,15,linear,2015
effneo,15,nearest,1246
efghak,15,linear,2014
efghak,15,nearest,891
efgoak,15,linear,2015
efgoak,15,nearest,1215
efmymo,15,linear,323
efmymo,15,nearest,178
efonve,15,linear,2006
efonve,15,nearest,1436
efsphe,15,linear,1981
efsphe,15,nearest,888
eggfri,15,linear,2015
eggfri,15,nearest,1124
eghanw,15,linear,1809
eghanw,15,nearest,996
egloha,15,linear,2014
egloha,15,nearest,980
egnata,15,linear,2015
egnata,15,nearest,1247
egreos,15,linear,2015
egreos,15,nearest,605
egteir,15,linear,1636
egteir,15,nearest,725
egwicj,15,linear,2015
egwicj,15,nearest,459
eiboid,15,linear,2015
eiboid,15,nearest,917
eicmyn,15,linear,2003
eicmyn,15,nearest,530
eifvid,15,linear,2015
eifvid,15,nearest,1113
eincuf,15,linear,1892
eincuf,15,nearest,159
eitpem,15,linear,1779
eitpem,15,nearest,428
ejcrur,15,linear,2015
ejcrur,15,nearest,829
ejesba,15,linear,2015
ejesba,15,nearest,790
ejkipu,15,linear,2012
ejkipu,15,nearest,812
ejnoax,15,linear,2014
ejnoax,15,nearest,790
ejshig,15,linear,2015
ejshig,15,nearest,1408
ejtobu,15,linear,2015
ejtobu,15,nearest,1304
ekenuc,15,linear,2015
ekenuc,15,nearest,1131
ekfrab,15,linear,1993
ekfrab,15,nearest,721
ektamy,15,linear,2014
ektamy,15,nearest,1323
ektuyo,15,linear,2014
ektuyo,15,nearest,781
ekyosj,15,linear,2013
ekyosj,15,nearest,1323
