user_id,sample_interval_min,interpolation_method,tolerance_km,predictability_direct_ctw,predictability_markov_order_1,predictability_markov_order_2,predictability_vq_ctw_K1024,predictability_vq_ctw_K256,predictability_vq_ctw_K512,entropy_rate_bits_direct_ctw,entropy_rate_bits_markov_order_1,entropy_rate_bits_markov_order_2,entropy_rate_bits_vq_ctw_K1024,entropy_rate_bits_vq_ctw_K256,entropy_rate_bits_vq_ctw_K512
abboip,5,nearest,10.0,0.9274646619734871,0.8671210848018583,0.8668982434273316,1.0,1.0,1.0,0.558639468628832,0.8350761194856174,0.7966660813962378,0.0,0.0,0.0
abdrem,5,nearest,10.0,0.9024678352276305,0.8864539024058561,0.8864539024058561,1.0,1.0,1.0,0.8112012075938089,1.113596257518114,0.9944426674247511,0.0,0.0,0.0
abgibo,5,nearest,10.0,0.9069420662826411,0.8412213945661332,0.8287227902941043,1.0,1.0,1.0,0.5310986073066495,0.7960702681486178,0.82794353381379,0.0,0.0,0.0
abjool,5,nearest,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
abmuya,5,nearest,10.0,0.9829485239708963,0.9704203768387295,0.9661281846543961,1.0,1.0,1.0,0.29130881009866144,0.3518123805288662,0.3093300375104118,0.0,0.0,0.0
abniar,5,nearest,10.0,0.9566181315705414,0.9199223432155185,0.9224180062851266,1.0,1.0,1.0,0.46208342903911914,0.6157086297658719,0.619676202660906,0.0,0.0,0.0
abnovk,5,nearest,10.0,0.9060432371951785,0.837231423136744,0.8238826574189513,1.0,1.0,1.0,0.6219119330050282,0.8857119958123932,0.931698601059147,0.0,0.0,0.0
abtyff,5,nearest,10.0,0.9700553559000348,0.9431422159592955,0.9459551855111141,1.0,1.0,1.0,0.37048607600680084,0.5030244337031083,0.5169435052743655,0.0,0.0,0.0
abwecn,5,nearest,10.0,0.9469608507983102,0.9085782578200898,0.910014886001653,1.0,1.0,1.0,0.48338701316949423,0.64298946744906,0.6465316337211289,0.0,0.0,0.0
abyalw,5,nearest,10.0,0.9783564888139971,0.9675035298985439,0.9619254423789629,1.0,1.0,1.0,0.43913054646692246,0.5673851595063052,0.5512797439075219,0.0,0.0,0.0
