user_id,start_time,end_time,mode
aucjun,2008-05-20T19:30:00,2008-06-06T21:30:00,taxi
auctji,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
aupcli,2008-06-02T07:30:00,2008-06-07T23:00:00,taxi
aurjye,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
avdyab,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
avglyb,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
aviltl,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
avpavi,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
awnbeb,2008-05-18T00:30:00,2008-06-07T14:00:00,taxi
awrenb,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
awribi,2008-05-18T00:30:00,2008-06-07T02:30:00,taxi
aydwah,2008-05-18T20:00:00,2008-06-07T23:30:00,taxi
ayfsdu,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
aygpha,2008-05-18T00:30:00,2008-06-06T08:00:00,taxi
aypudb,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ayquas,2008-05-19T17:00:00,2008-06-07T23:30:00,taxi
ayquex,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ayshek,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ayshow,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
aysmsl,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eacder,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
eadect,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eagbac,2008-05-19T16:30:00,2008-06-07T14:00:00,taxi
eapceo,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
easnsv,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eavcai,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eavfli,2008-05-18T01:30:00,2008-06-07T23:30:00,taxi
ebcicy,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ebdafy,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ebenfr,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ebrulr,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ebstic,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eccest,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ecdiwo,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ecfesy,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ecforj,2008-05-18T01:00:00,2008-06-07T23:30:00,taxi
ecgojt,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ecjeod,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eckeck,2008-05-18T00:30:00,2008-06-04T18:30:00,taxi
ecnopl,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
eddreb,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
edeejd,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
edglev,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
edgrat,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
edjiye,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
edlyxy,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
edmugr,2008-05-18T01:30:00,2008-06-07T21:30:00,taxi
ednill,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
edodbl,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
edombo,2008-06-05T08:00:00,2008-06-07T21:00:00,taxi
edrafs,2008-05-18T00:30:00,2008-05-20T23:30:00,taxi
eedigk,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eefayb,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
eegcef,2008-05-18T00:30:00,2008-06-07T01:00:00,taxi
eemafb,2008-05-18T01:00:00,2008-06-07T23:30:00,taxi
eenjou,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eersdo,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eesbaj,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
efcati,2008-05-18T01:30:00,2008-06-07T16:00:00,taxi
effneo,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
efghak,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
efgoak,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
efmymo,2008-06-04T15:30:00,2008-06-07T23:30:00,taxi
efonve,2008-05-18T00:30:00,2008-06-07T21:30:00,taxi
efsphe,2008-05-18T09:00:00,2008-06-07T23:30:00,taxi
eggfri,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eghanw,2008-05-19T18:30:00,2008-06-07T14:30:00,taxi
egloha,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
egnata,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
egreos,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
egteir,2008-05-18T00:30:00,2008-06-04T01:00:00,taxi
egwicj,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eiboid,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
