scenario_subdir,user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
tol_5km_int_30min,abjool,direct_ctw,30,linear,,5.0,1007.0,0.9562978445892408,0.425405859444641,1.7298212683046406,1.8714123209809568
tol_5km_int_30min,abjool,direct_ctw,30,nearest,,5.0,37.0,0.8461814135364318,1.0169296682600983,1.8402672492751009,1.9959183752987617
tol_5km_int_30min,abjool,markov_order_1,30,linear,,5.0,1007.0,0.9216416424597562,0.6947062595600518,1.7298212683046406,1.8714123209809568
tol_5km_int_30min,abjool,markov_order_1,30,nearest,,5.0,37.0,0.6281509337711378,1.9132971737668192,1.8402672492751009,1.9959183752987617
tol_5km_int_30min,abjool,markov_order_2,30,linear,,5.0,1007.0,0.9226419419565632,0.6873306188743541,1.7298212683046406,1.8714123209809568
tol_5km_int_30min,abjool,markov_order_2,30,nearest,,5.0,37.0,0.6251207570310042,1.92339374966869,1.8402672492751009,1.9959183752987617
tol_5km_int_30min,abjool,vq_ctw,30,linear,256.0,5.0,1007.0,0.9979576076574675,0.0244304998049358,2.774713786718473,2.774713786718473
tol_5km_int_30min,abjool,vq_ctw,30,nearest,256.0,5.0,37.0,0.8647572289330109,1.0395062781312454,5.180416406865516,5.180416406865516
tol_5km_int_30min,abjool,vq_ctw,30,linear,512.0,5.0,1007.0,0.9969357705694232,0.0371160013021201,2.895364613071745,2.895364613071745
tol_5km_int_30min,abjool,vq_ctw,30,nearest,512.0,5.0,37.0,0.8540798997557626,1.0372957672173753,4.812520318174201,4.812520318174201
tol_5km_int_30min,abjool,vq_ctw,30,linear,1024.0,5.0,1007.0,0.9968885884435688,0.036617155077609,2.6967912570332686,2.6967912570332686
tol_5km_int_30min,abjool,vq_ctw,30,nearest,1024.0,5.0,37.0,0.8817592046390569,0.94817167293396,4.947379501363472,4.947379501363472
tol_5km_int_30min,abmuya,direct_ctw,30,linear,,5.0,993.0,0.8405629660112491,1.3639738806980617,1.7182387336263745,1.8614003391259848
tol_5km_int_30min,abmuya,markov_order_1,30,linear,,5.0,993.0,0.7674951911898569,1.8483780870845008,1.7182387336263745,1.8614003391259848
tol_5km_int_30min,abmuya,markov_order_2,30,linear,,5.0,993.0,0.7390833463282199,2.024419540367775,1.7182387336263745,1.8614003391259848
tol_5km_int_30min,abmuya,vq_ctw,30,linear,256.0,5.0,993.0,0.9999999999980904,0.1002602193030851,4.241302924901071,4.241302924901071
tol_5km_int_30min,abmuya,vq_ctw,30,linear,512.0,5.0,993.0,0.9853228256678748,0.1397610068925887,4.427029291458889,4.427029291458889
tol_5km_int_30min,abmuya,vq_ctw,30,linear,1024.0,5.0,993.0,0.9886863291603052,0.1120086459512587,4.338542396328587,4.338542396328587
tol_5km_int_30min,abniar,direct_ctw,30,linear,,5.0,1007.0,0.8305007161682381,1.5040544886529843,1.6615562237107675,1.832285435048871
tol_5km_int_30min,abniar,direct_ctw,30,nearest,,5.0,344.0,0.8364584368021979,1.0086183771032389,1.67656697492244,1.840119407793701
tol_5km_int_30min,abniar,markov_order_1,30,linear,,5.0,1007.0,0.7364688050870246,2.1496843544904287,1.6615562237107675,1.832285435048871
tol_5km_int_30min,abniar,markov_order_1,30,nearest,,5.0,344.0,0.6589694702534378,1.7258917039289838,1.67656697492244,1.840119407793701
tol_5km_int_30min,abniar,markov_order_2,30,linear,,5.0,1007.0,0.6941515013746293,2.4175654899670507,1.6615562237107675,1.832285435048871
tol_5km_int_30min,abniar,markov_order_2,30,nearest,,5.0,344.0,0.6626513411805807,1.7246067333360222,1.67656697492244,1.840119407793701
tol_5km_int_30min,abniar,vq_ctw,30,linear,256.0,5.0,1007.0,0.9879098854425384,0.1135132306315543,4.478011111603462,4.478011111603462
tol_5km_int_30min,abniar,vq_ctw,30,nearest,256.0,5.0,344.0,0.8717063643724762,0.9402944229893976,4.698726384364835,4.698726384364835
tol_5km_int_30min,abniar,vq_ctw,30,linear,512.0,5.0,1007.0,0.9828600275204172,0.1693723027797895,4.453807577724041,4.453807577724041
tol_5km_int_30min,abniar,vq_ctw,30,nearest,512.0,5.0,344.0,0.8695063795951294,0.9664291144491194,4.818960416547667,4.818960416547667
tol_5km_int_30min,abniar,vq_ctw,30,linear,1024.0,5.0,1007.0,0.9876909671865428,0.120356714441076,4.452280834561394,4.452280834561394
tol_5km_int_30min,abniar,vq_ctw,30,nearest,1024.0,5.0,344.0,0.8815382269213974,0.9481315739877336,4.974659931635765,4.974659931635765
tol_5km_int_30min,abnovk,direct_ctw,30,linear,,5.0,995.0,0.8497794174174766,1.2596345937443174,1.5947102129198372,1.748489257810748
tol_5km_int_30min,abnovk,direct_ctw,30,nearest,,5.0,144.0,0.8350267769962626,1.0128946854213818,1.52221098396842,1.724988484067121
tol_5km_int_30min,abnovk,markov_order_1,30,linear,,5.0,995.0,0.7730050770909653,1.7537916187236569,1.5947102129198372,1.748489257810748
tol_5km_int_30min,abnovk,markov_order_1,30,nearest,,5.0,144.0,0.6712889586731168,1.6385010096340755,1.52221098396842,1.724988484067121
tol_5km_int_30min,abnovk,markov_order_2,30,linear,,5.0,995.0,0.755552302346985,1.8588441112490903,1.5947102129198372,1.748489257810748
tol_5km_int_30min,abnovk,markov_order_2,30,nearest,,5.0,144.0,0.6470117711147083,1.725403219031864,1.52221098396842,1.724988484067121
tol_5km_int_30min,abnovk,vq_ctw,30,linear,256.0,5.0,995.0,0.9999999999980904,0.0956238533726133,4.306988345271015,4.306988345271015
tol_5km_int_30min,abnovk,vq_ctw,30,nearest,256.0,5.0,144.0,0.8635546445528846,0.978582950510284,5.138932606006293,5.138932606006293
tol_5km_int_30min,abnovk,vq_ctw,30,linear,512.0,5.0,995.0,0.9846598074645356,0.1297490667352275,4.533430758591087,4.533430758591087
tol_5km_int_30min,abnovk,vq_ctw,30,nearest,512.0,5.0,144.0,0.8551144219633566,1.025462960028006,5.052381088646826,5.052381088646826
tol_5km_int_30min,abnovk,vq_ctw,30,linear,1024.0,5.0,995.0,0.9878208716099172,0.1070949619057581,4.356359553225183,4.356359553225183
tol_5km_int_30min,abnovk,vq_ctw,30,nearest,1024.0,5.0,144.0,0.8743794669038825,0.970586193955878,5.199598659982339,5.199598659982339
tol_5km_int_30min,abtyff,direct_ctw,30,linear,,5.0,1007.0,0.839520293083527,1.3290376857961466,1.717016801818566,1.8632420949431836
tol_5km_int_30min,abtyff,direct_ctw,30,nearest,,5.0,122.0,0.8373846806642018,1.054333198392399,1.3970170791600995,1.5595749255585
tol_5km_int_30min,abtyff,markov_order_1,30,linear,,5.0,1007.0,0.7702500175213625,1.7705381163038345,1.717016801818566,1.8632420949431836
tol_5km_int_30min,abtyff,markov_order_1,30,nearest,,5.0,122.0,0.6633552494908843,1.7787906987106057,1.3970170791600995,1.5595749255585
tol_5km_int_30min,abtyff,markov_order_2,30,linear,,5.0,1007.0,0.7499189299991944,1.892238994479868,1.717016801818566,1.8632420949431836
tol_5km_int_30min,abtyff,markov_order_2,30,nearest,,5.0,122.0,0.6362280718789604,1.8757011507756665,1.3970170791600995,1.5595749255585
tol_5km_int_30min,abtyff,vq_ctw,30,linear,256.0,5.0,1007.0,0.9999999999980904,0.0114802404571955,4.016763095403916,4.016763095403916
tol_5km_int_30min,abtyff,vq_ctw,30,nearest,256.0,5.0,122.0,0.8575711266989786,1.0326532645234048,4.54481112609969,4.54481112609969
tol_5km_int_30min,abtyff,vq_ctw,30,linear,512.0,5.0,1007.0,0.9976954451693978,0.0258163781067366,4.038466190022804,4.038466190022804
tol_5km_int_30min,abtyff,vq_ctw,30,nearest,512.0,5.0,122.0,0.8764953518514511,0.9226088629159226,4.450245629133034,4.450245629133034
tol_5km_int_30min,abtyff,vq_ctw,30,linear,1024.0,5.0,1007.0,0.9990591045779208,0.0117571413601652,4.025488950813944,4.025488950813944
tol_5km_int_30min,abtyff,vq_ctw,30,nearest,1024.0,5.0,122.0,0.8696001764655271,1.0450500117132029,4.613011697758009,4.613011697758009
tol_5km_int_30min,abwecn,direct_ctw,30,linear,,5.0,1007.0,0.8576096086464655,1.2675152512483532,1.4734354188591836,1.6436538289898932
tol_5km_int_30min,abwecn,direct_ctw,30,nearest,,5.0,219.0,0.8365010238720548,1.0452099472853955,1.5935850076385714,1.7659909521798358
tol_5km_int_30min,abwecn,markov_order_1,30,linear,,5.0,1007.0,0.7830837824725472,1.785908707904818,1.4734354188591836,1.6436538289898932
tol_5km_int_30min,abwecn,markov_order_1,30,nearest,,5.0,219.0,0.6729597415528139,1.7068876348844912,1.5935850076385714,1.7659909521798358
tol_5km_int_30min,abwecn,markov_order_2,30,linear,,5.0,1007.0,0.7493625412457291,2.004039830507168,1.4734354188591836,1.6436538289898932
tol_5km_int_30min,abwecn,markov_order_2,30,nearest,,5.0,219.0,0.6724884206397501,1.713681737807361,1.5935850076385714,1.7659909521798358
tol_5km_int_30min,abwecn,vq_ctw,30,linear,256.0,5.0,1007.0,0.9804153768918182,0.1586865514551515,5.095009536883981,5.095009536883981
tol_5km_int_30min,abwecn,vq_ctw,30,nearest,256.0,5.0,219.0,0.8798505683229513,0.8758102685540236,4.140317679882135,4.140317679882135
