dominant_mode,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
taxi,direct_ctw,15,linear,,7.5,1007860.0,0.9367119897297137,0.6030535179229296,2.241468153135537,2.439983158162476
taxi,direct_ctw,15,nearest,,7.5,88930.0,0.9421424910181395,0.430415358559348,2.2237627841299235,2.3969933264782335
taxi,markov_order_1,15,linear,,7.5,1007860.0,0.9161623624828308,0.764066898048659,2.241468153135537,2.439983158162476
taxi,markov_order_1,15,nearest,,7.5,88930.0,0.9125594451942325,0.5725456403582321,2.2237627841299235,2.3969933264782335
taxi,markov_order_2,15,linear,,7.5,1007860.0,0.9083468695831269,0.8235136935986542,2.241468153135537,2.439983158162476
taxi,markov_order_2,15,nearest,,7.5,88930.0,0.9062382260339791,0.5995818431396706,2.2237627841299235,2.3969933264782335
taxi,vq_ctw,15,linear,256.0,7.5,1007860.0,1.0,0.0,6.409732390289023,6.409732390289023
taxi,vq_ctw,15,linear,512.0,7.5,1007860.0,1.0,0.0,6.262330791731054,6.262330791731054
taxi,vq_ctw,15,linear,1024.0,7.5,1007860.0,1.0,0.0,6.239986763664645,6.239986763664645
taxi,vq_ctw,15,nearest,256.0,7.5,88930.0,1.0,0.0,6.340112290048994,6.340112290048994
taxi,vq_ctw,15,nearest,512.0,7.5,88930.0,1.0,0.0,6.324302333637065,6.324302333637065
taxi,vq_ctw,15,nearest,1024.0,7.5,88930.0,0.9999797936765756,0.0005394850903462576,6.722820021314931,6.722820021314931
