sample_interval_min,interpolation_method,codebook_size,raw_code,num_occurrences,dominant_mode,top_modes,mean_speed_kmh,mean_step_km,mean_radius_of_gyration_km
30,linear,256,46,1298,taxi,taxi:1298,21.07765007019043,10.538825035095215,7.87705501128786
30,linear,256,114,487243,taxi,taxi:487243,5.600857257843018,2.800428628921509,5.879229935633556
30,linear,256,121,39,taxi,taxi:39,4.546765327453613,2.2733826637268066,9.172252459403795
30,linear,256,142,1469,taxi,taxi:1469,20.752676010131836,10.376338005065918,7.491114094762107
30,linear,256,150,13652,taxi,taxi:13652,8.739521026611328,4.369760513305664,7.234585584100656
30,linear,256,157,14,taxi,taxi:14,9.352653503417969,4.676326751708984,7.825174263545445
30,linear,256,159,25,taxi,taxi:25,22.618785858154297,11.309392929077148,7.972929229736328
30,linear,256,162,15,taxi,taxi:15,8.490274429321289,4.2451372146606445,7.860346062978109
30,linear,256,195,2,taxi,taxi:2,3.062563180923462,1.531281590461731,8.693446636199951
30,linear,256,242,3,taxi,taxi:3,12.078814506530762,6.039407253265381,8.37278159459432
30,linear,512,36,8,taxi,taxi:8,31.90240478515625,15.951202392578125,7.467951536178589
30,linear,512,118,808,taxi,taxi:808,23.261728286743164,11.630864143371582,7.095467626163275
30,linear,512,119,54,taxi,taxi:54,20.734874725341797,10.367437362670898,7.135554755175555
30,linear,512,121,224,taxi,taxi:224,16.67059898376465,8.335299491882324,7.689740180969238
30,linear,512,123,987,taxi,taxi:987,13.48604965209961,6.743024826049805,8.129797631604815
30,linear,512,154,6,taxi,taxi:6,19.746580123901367,9.873290061950684,9.150528192520142
30,linear,512,174,1999,taxi,taxi:1999,21.547035217285156,10.773517608642578,7.607060702578195
30,linear,512,240,50,taxi,taxi:50,10.44948959350586,5.22474479675293,7.980982875823974
30,linear,512,301,13025,taxi,taxi:13025,8.86603832244873,4.433019161224365,7.265113113553419
30,linear,512,309,27,taxi,taxi:27,44.332305908203125,22.166152954101562,7.214317410080521
30,linear,512,335,478614,taxi,taxi:478614,5.488561153411865,2.7442805767059326,5.86261384691401
30,linear,512,425,7824,taxi,taxi:7824,10.173224449157715,5.086612224578857,6.6601267553606895
30,linear,512,462,3,taxi,taxi:3,35.289493560791016,17.644746780395508,8.676698366800943
30,linear,512,474,44,taxi,taxi:44,14.699114799499512,7.349557399749756,7.013713890855962
30,linear,512,479,3,taxi,taxi:3,15.318856239318848,7.659428119659424,8.231597582499186
30,linear,512,504,84,taxi,taxi:84,27.096403121948242,13.548201560974121,7.508013237090338
30,linear,1024,142,313,taxi,taxi:313,16.176692962646484,8.088346481323242,7.568316911356137
30,linear,1024,193,1246,taxi,taxi:1246,22.856536865234375,11.428268432617188,7.747603612573725
30,linear,1024,282,11211,taxi,taxi:11211,7.569665908813477,3.7848329544067383,7.232182943515779
30,linear,1024,309,27,taxi,taxi:27,20.971742630004883,10.485871315002441,7.481691766668249
30,linear,1024,321,333,taxi,taxi:333,11.867448806762695,5.933724403381348,7.813564505305018
30,linear,1024,433,485574,taxi,taxi:485574,5.5739288330078125,2.7869644165039062,5.877159767423248
30,linear,1024,471,2885,taxi,taxi:2885,14.54340648651123,7.271703243255615,6.6640326969338455
30,linear,1024,542,1914,taxi,taxi:1914,17.950525283813477,8.975262641906738,7.485050794348323
30,linear,1024,615,3,taxi,taxi:3,2.0326852798461914,1.0163426399230957,7.14329195022583
30,linear,1024,619,1,taxi,taxi:1,18.681339263916016,9.340669631958008,6.492796421051025
30,linear,1024,838,253,taxi,taxi:253,5.371890544891357,2.6859452724456787,8.51271863605665
30,nearest,256,22,4466,taxi,taxi:4466,7.634649276733398,3.817324638366699,5.090449233493942
30,nearest,256,28,3149,taxi,taxi:3149,5.300905227661133,2.6504526138305664,5.480847448347182
30,nearest,256,37,2,taxi,taxi:2,6.602299690246582,3.301149845123291,4.231526255607605
30,nearest,256,58,347,taxi,taxi:347,2.956613779067993,1.4783068895339966,4.105203952157188
30,nearest,256,60,32,taxi,taxi:32,4.462367057800293,2.2311835289001465,4.7297193557024
30,nearest,256,77,1,taxi,taxi:1,8.822633743286133,4.411316871643066,3.8738815784454346
30,nearest,256,81,775,taxi,taxi:775,7.292479038238525,3.6462395191192627,6.09498692635567
30,nearest,256,88,13445,taxi,taxi:13445,9.658647537231445,4.829323768615723,4.96075384623945
30,nearest,256,95,110,taxi,taxi:110,2.9620800018310547,1.4810400009155273,4.271377184174278
30,nearest,256,100,4145,taxi,taxi:4145,11.545836448669434,5.772918224334717,5.733266827827196
30,nearest,256,105,6,taxi,taxi:6,5.035641193389893,2.5178205966949463,4.0815831025441485
30,nearest,256,116,19720,taxi,taxi:19720,4.884047985076904,2.442023992538452,4.5453277554642595
30,nearest,256,131,1,taxi,taxi:1,13.736349105834961,6.8681745529174805,6.703671932220459
30,nearest,256,135,2637,taxi,taxi:2637,15.168119430541992,7.584059715270996,6.7000886141734
30,nearest,256,138,856,taxi,taxi:856,8.350330352783203,4.175165176391602,5.282176579548934
30,nearest,256,153,408,taxi,taxi:408,6.889708042144775,3.4448540210723877,4.635826723248351
30,nearest,256,160,4060,taxi,taxi:4060,24.68581771850586,12.34290885925293,6.701772538018344
30,nearest,256,192,3766,taxi,taxi:3766,6.566446781158447,3.2832233905792236,6.71588035669342
30,nearest,256,193,1,taxi,taxi:1,8.138252258300781,4.069126129150391,9.352049827575684
30,nearest,256,227,2,taxi,taxi:2,2.6034927368164062,1.3017463684082031,6.609272122383118
30,nearest,256,250,3149,taxi,taxi:3149,6.53013801574707,3.265069007873535,6.18200761554884
30,nearest,512,0,2811,taxi,taxi:2811,8.346920013427734,4.173460006713867,5.511646427831714
30,nearest,512,47,3,taxi,taxi:3,9.602631568908691,4.801315784454346,4.984678745269775
30,nearest,512,51,1,taxi,taxi:1,2.4964137077331543,1.2482068538665771,4.0460333824157715
30,nearest,512,75,40,taxi,taxi:40,3.2595016956329346,1.6297508478164673,4.300396114587784
30,nearest,512,76,4134,taxi,taxi:4134,12.898832321166992,6.449416160583496,5.984778384396461
30,nearest,512,83,5,taxi,taxi:5,3.464555025100708,1.732277512550354,4.340696001052857
30,nearest,512,151,10607,taxi,taxi:10607,5.036252975463867,2.5181264877319336,4.98487924630381
30,nearest,512,164,1,taxi,taxi:1,0.0,0.0,3.861593008041382
30,nearest,512,175,6269,taxi,taxi:6269,7.107008934020996,3.553504467010498,6.17961595259627
30,nearest,512,177,1,taxi,taxi:1,7.246152877807617,3.6230764389038086,4.238872528076172
30,nearest,512,210,4686,taxi,taxi:4686,21.482385635375977,10.741192817687988,6.427751863099447
30,nearest,512,222,1,taxi,taxi:1,3.686188220977783,1.8430941104888916,2.913800001144409
30,nearest,512,278,228,taxi,taxi:228,8.277612686157227,4.138806343078613,5.581079696354113
30,nearest,512,294,3667,taxi,taxi:3667,8.266656875610352,4.133328437805176,6.2288265759463135
30,nearest,512,319,2932,taxi,taxi:2932,6.685989856719971,3.3429949283599854,4.67266836522546
30,nearest,512,324,19127,taxi,taxi:19127,6.439788341522217,3.2198941707611084,4.314915827627357
30,nearest,512,354,2248,taxi,taxi:2248,6.565898895263672,3.282949447631836,7.054585992865715
30,nearest,512,371,46,taxi,taxi:46,5.923527717590332,2.961763858795166,4.517607730367909
30,nearest,512,379,3327,taxi,taxi:3327,16.77859878540039,8.389299392700195,5.766705395654403
30,nearest,512,392,2,taxi,taxi:2,7.102310657501221,3.5511553287506104,4.6830198764801025
30,nearest,512,415,104,taxi,taxi:104,6.966658592224121,3.4833292961120605,5.141993997188715
30,nearest,512,459,49,taxi,taxi:49,5.3526225090026855,2.6763112545013428,4.746729232827011
30,nearest,512,460,1,taxi,taxi:1,3.524599313735962,1.762299656867981,5.4511799812316895
30,nearest,512,473,67,taxi,taxi:67,3.3127987384796143,1.6563993692398071,4.577382240722429
30,nearest,512,495,721,taxi,taxi:721,6.717911720275879,3.3589558601379395,5.67823884192849
30,nearest,1024,40,239,taxi,taxi:239,5.272592067718506,2.636296033859253,4.938409864154321
30,nearest,1024,42,1364,taxi,taxi:1364,4.841761112213135,2.4208805561065674,5.372406968273375
30,nearest,1024,49,91,taxi,taxi:91,5.467812538146973,2.7339062690734863,4.8822636761508145
30,nearest,1024,94,1,taxi,taxi:1,0.0,0.0,6.426892280578613
30,nearest,1024,110,1425,taxi,taxi:1425,19.629596710205078,9.814798355102539,6.523623276593392
30,nearest,1024,141,3223,taxi,taxi:3223,7.767014026641846,3.883507013320923,4.484886865493047
30,nearest,1024,146,1565,taxi,taxi:1565,10.393288612365723,5.196644306182861,5.276456176739531
30,nearest,1024,175,2,taxi,taxi:2,4.868612766265869,2.4343063831329346,6.3794355392456055
30,nearest,1024,189,3353,taxi,taxi:3353,7.28662633895874,3.64331316947937,6.334506590402627
30,nearest,1024,243,6761,taxi,taxi:6761,5.445292949676514,2.722646474838257,4.526195011394932
30,nearest,1024,363,1391,taxi,taxi:1391,29.5064640045166,14.7532320022583,5.406591392094758
30,nearest,1024,368,3028,taxi,taxi:3028,7.025564670562744,3.512782335281372,5.237326074150468
30,nearest,1024,434,3,taxi,taxi:3,6.362820148468018,3.181410074234009,5.3290120760599775
30,nearest,1024,473,8557,taxi,taxi:8557,5.5106000900268555,2.7553000450134277,4.01124476521347
30,nearest,1024,484,2903,taxi,taxi:2903,8.603327751159668,4.301663875579834,6.454880571841701
30,nearest,1024,495,4520,taxi,taxi:4520,21.828006744384766,10.914003372192383,6.566549354422409
30,nearest,1024,503,554,taxi,taxi:554,9.005306243896484,4.502653121948242,5.587188836899905
30,nearest,1024,520,2,taxi,taxi:2,7.780952453613281,3.8904762268066406,4.267443895339966
30,nearest,1024,530,3353,taxi,taxi:3353,7.126446723937988,3.563223361968994,5.455631236940436
30,nearest,1024,587,112,taxi,taxi:112,6.333682537078857,3.1668412685394287,4.531338146754673
30,nearest,1024,613,4479,taxi,taxi:4479,9.500499725341797,4.750249862670898,6.192038558109128
30,nearest,1024,659,1,taxi,taxi:1,12.527520179748535,6.263760089874268,5.061584949493408
30,nearest,1024,711,11,taxi,taxi:11,4.775527000427246,2.387763500213623,5.488687385212291
30,nearest,1024,713,5297,taxi,taxi:5297,7.105134010314941,3.5525670051574707,6.530650905512269
30,nearest,1024,761,16,taxi,taxi:16,6.214453220367432,3.107226610183716,4.601102843880653
30,nearest,1024,772,75,taxi,taxi:75,5.206912517547607,2.6034562587738037,4.045372835795084
30,nearest,1024,780,8214,taxi,taxi:8214,5.115931987762451,2.5579659938812256,4.445194692123479
30,nearest,1024,827,9,taxi,taxi:9,5.731103897094727,2.8655519485473633,4.227230919731988
30,nearest,1024,831,5,taxi,taxi:5,9.49622917175293,4.748114585876465,4.580231714248657
30,nearest,1024,906,417,taxi,taxi:417,5.597646713256836,2.798823356628418,5.494608028901281
30,nearest,1024,983,58,taxi,taxi:58,5.7461771965026855,2.8730885982513428,4.470424997395482
30,nearest,1024,998,46,taxi,taxi:46,7.682464599609375,3.8412322998046875,4.332399554874586
30,nearest,1024,1011,3,taxi,taxi:3,2.3862991333007812,1.1931495666503906,5.400051116943359
