dominant_mode,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
taxi,direct_ctw,30,linear,,5.0,503760.0,0.8424521663547219,1.34978091504963,1.6398532103030012,1.801741737700979
taxi,direct_ctw,30,nearest,,5.0,61078.0,0.8333307659475215,1.0363090021161574,1.5964698831491464,1.7745933082959748
taxi,markov_order_1,30,linear,,5.0,503760.0,0.758058136607704,1.909429185582402,1.6398532103030012,1.801741737700979
taxi,markov_order_1,30,nearest,,5.0,61078.0,0.6524715880034656,1.7490203557996578,1.5964698831491464,1.7745933082959748
taxi,markov_order_2,30,linear,,5.0,503760.0,0.7276681804792912,2.096603731698172,1.6398532103030012,1.801741737700979
taxi,markov_order_2,30,nearest,,5.0,61078.0,0.6533366785260443,1.7506130404450866,1.5964698831491464,1.7745933082959748
taxi,vq_ctw,30,linear,256.0,5.0,503760.0,0.9866154824147456,0.12583110516816748,4.708460180536412,4.708460180536412
taxi,vq_ctw,30,linear,512.0,5.0,503760.0,0.9821526709873363,0.1643790606376116,4.752321951979707,4.752321951979707
taxi,vq_ctw,30,linear,1024.0,5.0,503760.0,0.9836946433437284,0.14905627263215124,4.678248191846969,4.678248191846969
taxi,vq_ctw,30,nearest,256.0,5.0,61078.0,0.865766772001676,0.9637094861350342,4.607072607442767,4.607072607442767
taxi,vq_ctw,30,nearest,512.0,5.0,61078.0,0.8734200455145894,0.9206248476311925,4.560378080740868,4.560378080740868
taxi,vq_ctw,30,nearest,1024.0,5.0,61078.0,0.8671678774151403,1.0110634505559348,4.7053366472284495,4.7053366472284495
