scenario_subdir,user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
tol_2p5km_int_30min,abboip,direct_ctw,30,linear,,2.5,1007.0,0.8270951374863951,1.5582121005930365,0.9583194185802284,1.017223196153741
tol_2p5km_int_30min,abboip,direct_ctw,30,nearest,,2.5,114.0,0.8595220787959691,1.0683732100822023,1.01064117591069,1.0690980111441897
tol_2p5km_int_30min,abboip,markov_order_1,30,linear,,2.5,1007.0,0.6446642179504869,2.7758026404667877,0.9583194185802284,1.017223196153741
tol_2p5km_int_30min,abboip,markov_order_1,30,nearest,,2.5,114.0,0.4620541495480108,2.866428857370524,1.01064117591069,1.0690980111441897
tol_2p5km_int_30min,abboip,markov_order_2,30,linear,,2.5,1007.0,0.6048847882191416,3.0107373722800577,0.9583194185802284,1.017223196153741
tol_2p5km_int_30min,abboip,markov_order_2,30,nearest,,2.5,114.0,0.5023011606229473,2.7302143468171374,1.01064117591069,1.0690980111441897
tol_2p5km_int_30min,abboip,vq_ctw,30,linear,256.0,2.5,1007.0,0.8183807205926312,1.656641374910523,1.7320991804767432,1.7320991804767432
tol_2p5km_int_30min,abboip,vq_ctw,30,nearest,256.0,2.5,114.0,0.8657679281046186,1.0456885883164573,2.5327870077752466,2.5327870077752466
tol_2p5km_int_30min,abboip,vq_ctw,30,linear,512.0,2.5,1007.0,0.8213267078383919,1.664079084335133,2.11273473276308,2.11273473276308
tol_2p5km_int_30min,abboip,vq_ctw,30,nearest,512.0,2.5,114.0,0.8646235899107076,1.0295621931579622,2.183822168467344,2.183822168467344
tol_2p5km_int_30min,abboip,vq_ctw,30,linear,1024.0,2.5,1007.0,0.842158873855849,1.2604842410038002,1.7395779241736673,1.7395779241736673
tol_2p5km_int_30min,abboip,vq_ctw,30,nearest,1024.0,2.5,114.0,0.8574869051916224,1.0470467267038246,2.341709111749776,2.341709111749776
tol_2p5km_int_30min,abcoij,direct_ctw,30,linear,,2.5,574.0,0.9723335351145226,0.2817340208240727,0.9454025710116424,0.998785083105853
tol_2p5km_int_30min,abcoij,markov_order_1,30,linear,,2.5,574.0,0.9388830401867696,0.5509649765229824,0.9454025710116424,0.998785083105853
tol_2p5km_int_30min,abcoij,markov_order_2,30,linear,,2.5,574.0,0.9317920125895858,0.6037234208355909,0.9454025710116424,0.998785083105853
tol_2p5km_int_30min,abcoij,vq_ctw,30,linear,256.0,2.5,574.0,0.9571095906421712,0.4229593020551653,1.6395941402130851,1.6395941402130851
tol_2p5km_int_30min,abcoij,vq_ctw,30,linear,512.0,2.5,574.0,0.9444027370764368,0.5458870253847381,3.013545431079133,3.013545431079133
tol_2p5km_int_30min,abcoij,vq_ctw,30,linear,1024.0,2.5,574.0,0.9709844661401478,0.2708874275487952,1.9668780578102223,1.9668780578102223
