user_id,trajectory_id,segment_id,sample_interval_min,interpolation_method,tolerance_km,dominant_mode,num_points,actual_distortion_km,reconstruction_rmse_km,codebook_size,eligible_for_vq,method,entropy_rate_bits,predictability,alphabet_size
abboip,abboip,abboip_seg000,30,linear,5.0,taxi,1007,1.610407800165294,1.7647526387723975,,True,direct_ctw,1.1908823243481808,0.8548472616523393,18.0
abboip,abboip,abboip_seg000,30,linear,5.0,taxi,1007,1.610407800165294,1.7647526387723975,,True,markov_order_1,1.5751070562403715,0.7941122353071053,18.0
abboip,abboip,abboip_seg000,30,linear,5.0,taxi,1007,1.610407800165294,1.7647526387723975,,True,markov_order_2,1.6440373484363604,0.7825947020895715,18.0
abcoij,abcoij,abcoij_seg000,30,linear,5.0,taxi,574,2.121490679076195,2.2060514579320833,,True,direct_ctw,0.19766804563935925,0.9787596192899829,6.0
abcoij,abcoij,abcoij_seg000,30,linear,5.0,taxi,574,2.121490679076195,2.2060514579320833,,True,markov_order_1,0.27300464763461146,0.9687744519314666,6.0
abcoij,abcoij,abcoij_seg000,30,linear,5.0,taxi,574,2.121490679076195,2.2060514579320833,,True,markov_order_2,0.2661267791226295,0.9697166284012992,6.0
abdrem,abdrem,abdrem_seg000,30,linear,5.0,taxi,1003,1.6636181339711988,1.8187930922350413,,True,direct_ctw,1.7791346105074002,0.7989478375232852,39.0
abdrem,abdrem,abdrem_seg000,30,linear,5.0,taxi,1003,1.6636181339711988,1.8187930922350413,,True,markov_order_1,2.6248236730717105,0.6734896800477314,39.0
abdrem,abdrem,abdrem_seg000,30,linear,5.0,taxi,1003,1.6636181339711988,1.8187930922350413,,True,markov_order_2,2.9897975005663397,0.6136741615480332,39.0
abgibo,abgibo,abgibo_seg000,30,linear,5.0,taxi,1007,1.6427747547891582,1.800519481877821,,True,direct_ctw,1.5704532072702528,0.8189934765680833,31.0
abgibo,abgibo,abgibo_seg000,30,linear,5.0,taxi,1007,1.6427747547891582,1.800519481877821,,True,markov_order_1,2.258828504566313,0.715290276536986,31.0
abgibo,abgibo,abgibo_seg000,30,linear,5.0,taxi,1007,1.6427747547891582,1.800519481877821,,True,markov_order_2,2.5269616211146095,0.6712201540937016,31.0
abjool,abjool,abjool_seg000,30,linear,5.0,taxi,1007,1.7298212683046406,1.8714123209809566,,True,direct_ctw,0.42540585944464104,0.9562978445892409,15.0
abjool,abjool,abjool_seg000,30,linear,5.0,taxi,1007,1.7298212683046406,1.8714123209809566,,True,markov_order_1,0.6947062595600518,0.9216416424597562,15.0
abjool,abjool,abjool_seg000,30,linear,5.0,taxi,1007,1.7298212683046406,1.8714123209809566,,True,markov_order_2,0.6873306188743541,0.9226419419565632,15.0
abmuya,abmuya,abmuya_seg000,30,linear,5.0,taxi,993,1.7182387336263745,1.8614003391259846,,True,direct_ctw,1.3639738806980615,0.8405629660112491,25.0
abmuya,abmuya,abmuya_seg000,30,linear,5.0,taxi,993,1.7182387336263745,1.8614003391259846,,True,markov_order_1,1.8483780870845008,0.7674951911898569,25.0
abmuya,abmuya,abmuya_seg000,30,linear,5.0,taxi,993,1.7182387336263745,1.8614003391259846,,True,markov_order_2,2.024419540367775,0.7390833463282199,25.0
abniar,abniar,abniar_seg000,30,linear,5.0,taxi,1007,1.6615562237107677,1.832285435048871,,True,direct_ctw,1.5040544886529845,0.8305007161682381,33.0
abniar,abniar,abniar_seg000,30,linear,5.0,taxi,1007,1.6615562237107677,1.832285435048871,,True,markov_order_1,2.1496843544904287,0.7364688050870246,33.0
abniar,abniar,abniar_seg000,30,linear,5.0,taxi,1007,1.6615562237107677,1.832285435048871,,True,markov_order_2,2.4175654899670507,0.6941515013746293,33.0
abnovk,abnovk,abnovk_seg000,30,linear,5.0,taxi,995,1.5947102129198372,1.748489257810748,,True,direct_ctw,1.2596345937443174,0.8497794174174766,21.0
abnovk,abnovk,abnovk_seg000,30,linear,5.0,taxi,995,1.5947102129198372,1.748489257810748,,True,markov_order_1,1.7537916187236569,0.7730050770909653,21.0
abnovk,abnovk,abnovk_seg000,30,linear,5.0,taxi,995,1.5947102129198372,1.748489257810748,,True,markov_order_2,1.8588441112490903,0.755552302346985,21.0
abtyff,abtyff,abtyff_seg000,30,linear,5.0,taxi,1007,1.717016801818566,1.8632420949431834,,True,direct_ctw,1.3290376857961466,0.839520293083527,21.0
