user_id,sample_interval_min,interpolation_method,tolerance_km,predictability_direct_ctw,predictability_markov_order_1,predictability_markov_order_2,predictability_vq_ctw_K1024,predictability_vq_ctw_K256,predictability_vq_ctw_K512,entropy_rate_bits_direct_ctw,entropy_rate_bits_markov_order_1,entropy_rate_bits_markov_order_2,entropy_rate_bits_vq_ctw_K1024,entropy_rate_bits_vq_ctw_K256,entropy_rate_bits_vq_ctw_K512
abboip,5,linear,2.5,0.8819770335968861,0.8522329294639579,0.8247935315587581,0.9441490122690296,0.926910600216671,0.8833462119211226,1.1964339210724053,1.4465613509713116,1.6682314116312764,0.5390386362784891,0.739447569794682,1.0975909390235874
abcoij,5,linear,2.5,0.9932798404178496,0.9861063071575071,0.9843954118832107,0.9941086924945135,0.9921763882729626,0.9844270756720422,0.08303136911428304,0.1570333510370585,0.17373688585481836,0.0673411554845568,0.08795571210811703,0.1696771439258486
abdrem,5,linear,2.5,0.820071485445893,0.7483484292019547,0.6803129621544972,0.8922939223404113,0.8681958547378511,0.8186348426091166,1.9608211295845215,2.605378027027677,3.1798739823382856,0.9732656735352713,1.2489929295408913,1.6278677403190644
abgibo,5,linear,2.5,0.8477381663244481,0.788940476573193,0.7315974273219495,0.9163817179788424,0.8967433352364673,0.847707748325079,1.6558600821841538,2.1856496149734213,2.673128336537463,0.7930543242190459,1.028759323154847,1.42047286640297
abjool,5,linear,2.5,0.9606997955552169,0.9410123803527588,0.9313926952300348,0.9792208730641017,0.972188374957988,0.9582703635669463,0.46524265693325045,0.6628800843415648,0.7555320811506185,0.23244045280811976,0.32235377521405884,0.45690387967227997
abmuya,5,linear,2.5,0.8647324591576743,0.8299799172666775,0.7888365820684746,0.939158224237903,0.9160379759988112,0.8621638690667202,1.4498464620987874,1.7614961179519264,2.1145425818490424,0.5937312111465278,0.8533842873158473,1.2911461180699288
abniar,5,linear,2.5,0.8441319177502402,0.7929135328880474,0.7357585890563146,0.9216586344983377,0.904769208223215,0.8460669112675887,1.685381773141663,2.145587674099555,2.6318645779140004,0.7554999768412146,0.9638965369175688,1.4274256547268125
abnovk,5,linear,2.5,0.8722318801148334,0.8359928540005614,0.7975081017351348,0.9322380395597516,0.916124476584705,0.8747772429480172,1.365812121150061,1.6893623356173422,2.017777818756863,0.6503779900146978,0.8459110470923271,1.1703032595319094
abtyff,5,linear,2.5,0.8708526647089316,0.8345705116364701,0.796680755796249,0.9388583745449386,0.9239579496489275,0.870552544524967,1.364433885770115,1.6838531083596586,2.0026754196283614,0.5869161670983872,0.7781184005510549,1.2031581573867427
abwecn,5,linear,2.5,0.8514341403490354,0.8100790032179412,0.7672214506305066,0.9283911635566784,0.9194784002020948,0.864524077012173,1.5911357662314083,1.9603601792398302,2.325995598806127,0.6958260415003265,0.8265859371134616,1.2614956364981218
abyalw,5,linear,2.5,0.8848354637440514,0.8590735928148301,0.8387822981742419,0.9561216569845756,0.9442714090828512,0.8899589380590829,1.1652719439243935,1.3820282315194201,1.5471042660660035,0.4312279251010345,0.5623420272531793,1.0110546675167253
acdiyi,5,linear,2.5,0.8972050818839549,0.8438030000390826,0.8041418502683256,0.9417446572324739,0.9224553881204619,0.8991924907596716,1.1400950252923512,1.631501887887789,1.9754696397485092,0.5802657106253301,0.7974328676204322,0.9886203685639663
