scenario_subdir,user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
tol_7p5km_int_30min,abboip,direct_ctw,30,linear,,7.5,1007.0,0.9381641461214136,0.5486067801758595,2.255856605744244,2.426025423079756
tol_7p5km_int_30min,abboip,direct_ctw,30,nearest,,7.5,114.0,0.93255726501035,0.4756685960250068,2.272584054157855,2.460507383003548
tol_7p5km_int_30min,abboip,markov_order_1,30,linear,,7.5,1007.0,0.9221284374062376,0.6640260899836729,2.255856605744244,2.426025423079756
tol_7p5km_int_30min,abboip,markov_order_1,30,nearest,,7.5,114.0,0.882291081150543,0.6939129010435606,2.272584054157855,2.460507383003548
tol_7p5km_int_30min,abboip,markov_order_2,30,linear,,7.5,1007.0,0.9158115377932388,0.708012454480051,2.255856605744244,2.426025423079756
tol_7p5km_int_30min,abboip,markov_order_2,30,nearest,,7.5,114.0,0.874041060603537,0.7325487957975277,2.272584054157855,2.460507383003548
tol_7p5km_int_30min,abboip,vq_ctw,30,linear,256.0,7.5,1007.0,1.0,0.0,4.720506177083804,4.720506177083804
tol_7p5km_int_30min,abboip,vq_ctw,30,nearest,256.0,7.5,114.0,0.931602956098596,0.3700799778557967,6.32732873588336,6.32732873588336
tol_7p5km_int_30min,abboip,vq_ctw,30,linear,512.0,7.5,1007.0,1.0,0.0,4.78718477187436,4.78718477187436
tol_7p5km_int_30min,abboip,vq_ctw,30,nearest,512.0,7.5,114.0,0.9715238609587182,0.2646988955470223,5.671330198382951,5.671330198382951
tol_7p5km_int_30min,abboip,vq_ctw,30,linear,1024.0,7.5,1007.0,1.0,0.0,4.638434474291037,4.638434474291037
tol_7p5km_int_30min,abboip,vq_ctw,30,nearest,1024.0,7.5,114.0,0.9999999999987436,0.117844623865212,5.097446167449615,5.097446167449615
tol_7p5km_int_30min,abcoij,direct_ctw,30,linear,,7.5,574.0,0.9907709663956856,0.0848667028118579,2.0584399903601023,2.259849636143439
tol_7p5km_int_30min,abcoij,markov_order_1,30,linear,,7.5,574.0,0.98991312875198,0.0914553592672321,2.0584399903601023,2.259849636143439
tol_7p5km_int_30min,abcoij,markov_order_2,30,linear,,7.5,574.0,0.9887898409787568,0.0999231836866915,2.0584399903601023,2.259849636143439
tol_7p5km_int_30min,abcoij,vq_ctw,30,linear,256.0,7.5,574.0,1.0,0.0,3.7706059322320833,3.7706059322320833
tol_7p5km_int_30min,abcoij,vq_ctw,30,linear,512.0,7.5,574.0,1.0,0.0,3.827700104780465,3.827700104780465
tol_7p5km_int_30min,abcoij,vq_ctw,30,linear,1024.0,7.5,574.0,1.0,0.0,3.671981323001461,3.671981323001461
tol_7p5km_int_30min,abdrem,direct_ctw,30,linear,,7.5,1003.0,0.8615286302221693,1.2151074620567837,2.256986571615629,2.452042721925426
tol_7p5km_int_30min,abdrem,direct_ctw,30,nearest,,7.5,139.0,0.9017935523308316,0.627108083700285,2.447913486203811,2.6202777562582984
tol_7p5km_int_30min,abdrem,markov_order_1,30,linear,,7.5,1003.0,0.8048578916926359,1.606824510904408,2.256986571615629,2.452042721925426
tol_7p5km_int_30min,abdrem,markov_order_1,30,nearest,,7.5,139.0,0.8415464199718626,0.8595317854832476,2.447913486203811,2.6202777562582984
tol_7p5km_int_30min,abdrem,markov_order_2,30,linear,,7.5,1003.0,0.7841884579096359,1.7419332445842095,2.256986571615629,2.452042721925426
tol_7p5km_int_30min,abdrem,markov_order_2,30,nearest,,7.5,139.0,0.8429694357293908,0.8608634440609838,2.447913486203811,2.6202777562582984
tol_7p5km_int_30min,abdrem,vq_ctw,30,linear,256.0,7.5,1003.0,1.0,0.0,8.038163145007575,8.038163145007575
tol_7p5km_int_30min,abdrem,vq_ctw,30,nearest,256.0,7.5,139.0,0.8693037388320467,0.6727754831296612,7.38014100433771,7.38014100433771
tol_7p5km_int_30min,abdrem,vq_ctw,30,linear,512.0,7.5,1003.0,1.0,0.0,7.987056349132752,7.987056349132752
tol_7p5km_int_30min,abdrem,vq_ctw,30,nearest,512.0,7.5,139.0,0.9799266602398592,0.4249273361565717,6.880324054479945,6.880324054479945
tol_7p5km_int_30min,abdrem,vq_ctw,30,linear,1024.0,7.5,1003.0,1.0,0.0,7.963330164800019,7.963330164800019
tol_7p5km_int_30min,abdrem,vq_ctw,30,nearest,1024.0,7.5,139.0,0.9910261474287408,0.1130025096438822,7.393903305868632,7.393903305868632
tol_7p5km_int_30min,abgibo,direct_ctw,30,linear,,7.5,1007.0,0.8966759728783724,0.9183577870033622,2.1913211050506964,2.398991064565179
tol_7p5km_int_30min,abgibo,direct_ctw,30,nearest,,7.5,36.0,0.8877369000976135,0.6846374413813769,2.410025306163965,2.5627949230041263
tol_7p5km_int_30min,abgibo,markov_order_1,30,linear,,7.5,1007.0,0.8554160927007783,1.2103008509986968,2.1913211050506964,2.398991064565179
tol_7p5km_int_30min,abgibo,markov_order_1,30,nearest,,7.5,36.0,0.7883899826550677,1.0799429213755405,2.410025306163965,2.5627949230041263
tol_7p5km_int_30min,abgibo,markov_order_2,30,linear,,7.5,1007.0,0.8371470198901612,1.3328789656403446,2.1913211050506964,2.398991064565179
tol_7p5km_int_30min,abgibo,markov_order_2,30,nearest,,7.5,36.0,0.8149545967165135,0.9842810168090004,2.410025306163965,2.5627949230041263
tol_7p5km_int_30min,abgibo,vq_ctw,30,linear,256.0,7.5,1007.0,1.0,0.0,6.288247144457082,6.288247144457082
tol_7p5km_int_30min,abgibo,vq_ctw,30,nearest,256.0,7.5,36.0,0.8828354310818742,0.638319778517989,6.875725621164315,6.875725621164315
tol_7p5km_int_30min,abgibo,vq_ctw,30,linear,512.0,7.5,1007.0,1.0,0.0,6.293416382055085,6.293416382055085
tol_7p5km_int_30min,abgibo,vq_ctw,30,nearest,512.0,7.5,36.0,0.9999999999980906,0.2706659581961876,6.854700116053968,6.854700116053968
tol_7p5km_int_30min,abgibo,vq_ctw,30,linear,1024.0,7.5,1007.0,1.0,0.0,6.249920129265655,6.249920129265655
tol_7p5km_int_30min,abgibo,vq_ctw,30,nearest,1024.0,7.5,36.0,1.0,0.0,5.87238190530167,5.87238190530167
tol_7p5km_int_30min,abjool,direct_ctw,30,linear,,7.5,1007.0,0.9748903701829074,0.2445689035534798,2.187895663323677,2.311032526647296
tol_7p5km_int_30min,abjool,direct_ctw,30,nearest,,7.5,37.0,0.8539865037593896,0.8311994164723816,2.2541515170377098,2.430240885775077
tol_7p5km_int_30min,abjool,markov_order_1,30,linear,,7.5,1007.0,0.9656227105578874,0.3190215317669481,2.187895663323677,2.311032526647296
tol_7p5km_int_30min,abjool,markov_order_1,30,nearest,,7.5,37.0,0.7981688439025169,1.0454701381503095,2.2541515170377098,2.430240885775077
tol_7p5km_int_30min,abjool,markov_order_2,30,linear,,7.5,1007.0,0.9637718104049602,0.333407448167952,2.187895663323677,2.311032526647296
tol_7p5km_int_30min,abjool,markov_order_2,30,nearest,,7.5,37.0,0.7584425361705431,1.1804802302229855,2.2541515170377098,2.430240885775077
tol_7p5km_int_30min,abjool,vq_ctw,30,linear,256.0,7.5,1007.0,1.0,0.0,3.8886522630765055,3.8886522630765055
tol_7p5km_int_30min,abjool,vq_ctw,30,nearest,256.0,7.5,37.0,0.9269119119845176,0.4504316158559726,7.009630875290092,7.009630875290092
tol_7p5km_int_30min,abjool,vq_ctw,30,linear,512.0,7.5,1007.0,1.0,0.0,3.910410763196329,3.910410763196329
tol_7p5km_int_30min,abjool,vq_ctw,30,nearest,512.0,7.5,37.0,0.9999999999980904,0.3588458154790505,8.142778313166776,8.142778313166776
tol_7p5km_int_30min,abjool,vq_ctw,30,linear,1024.0,7.5,1007.0,1.0,0.0,3.778117387636151,3.778117387636151
tol_7p5km_int_30min,abjool,vq_ctw,30,nearest,1024.0,7.5,37.0,0.9999999999980904,0.1810161214860831,5.748408314951464,5.748408314951464
tol_7p5km_int_30min,abmuya,direct_ctw,30,linear,,7.5,993.0,0.9269404359211524,0.6626747105417908,2.168376086018648,2.3646394601747285
tol_7p5km_int_30min,abmuya,markov_order_1,30,linear,,7.5,993.0,0.9020992495926436,0.8447931079717905,2.168376086018648,2.3646394601747285
tol_7p5km_int_30min,abmuya,markov_order_2,30,linear,,7.5,993.0,0.8903683686795754,0.9271226355604816,2.168376086018648,2.3646394601747285
tol_7p5km_int_30min,abmuya,vq_ctw,30,linear,256.0,7.5,993.0,1.0,0.0,5.532921446939817,5.532921446939817
tol_7p5km_int_30min,abmuya,vq_ctw,30,linear,512.0,7.5,993.0,1.0,0.0,5.546341454003604,5.546341454003604
tol_7p5km_int_30min,abmuya,vq_ctw,30,linear,1024.0,7.5,993.0,1.0,0.0,5.472217822705138,5.472217822705138
tol_7p5km_int_30min,abniar,direct_ctw,30,linear,,7.5,1007.0,0.9119707446944576,0.8103134049448201,2.250204546732493,2.4603703645514567
tol_7p5km_int_30min,abniar,direct_ctw,30,nearest,,7.5,344.0,0.902636669453657,0.6498298951839604,2.292733512390952,2.493805189672001
tol_7p5km_int_30min,abniar,markov_order_1,30,linear,,7.5,1007.0,0.8759255268661703,1.0772014505987282,2.250204546732493,2.4603703645514567
tol_7p5km_int_30min,abniar,markov_order_1,30,nearest,,7.5,344.0,0.8504827358079201,0.8811985738207181,2.292733512390952,2.493805189672001
tol_7p5km_int_30min,abniar,markov_order_2,30,linear,,7.5,1007.0,0.8548309118479844,1.225028083505209,2.250204546732493,2.4603703645514567
tol_7p5km_int_30min,abniar,markov_order_2,30,nearest,,7.5,344.0,0.8377491554884018,0.9352881236295736,2.292733512390952,2.493805189672001
tol_7p5km_int_30min,abniar,vq_ctw,30,linear,256.0,7.5,1007.0,1.0,0.0,6.6740878096226215,6.6740878096226215
tol_7p5km_int_30min,abniar,vq_ctw,30,nearest,256.0,7.5,344.0,0.8977329903755219,0.5842822296912413,6.755880086962005,6.755880086962005
tol_7p5km_int_30min,abniar,vq_ctw,30,linear,512.0,7.5,1007.0,1.0,0.0,6.6860690502215006,6.6860690502215006
tol_7p5km_int_30min,abniar,vq_ctw,30,nearest,512.0,7.5,344.0,0.9761602944228108,0.2823609605464765,6.450308720519286,6.450308720519286
tol_7p5km_int_30min,abniar,vq_ctw,30,linear,1024.0,7.5,1007.0,1.0,0.0,6.610809035327683,6.610809035327683
tol_7p5km_int_30min,abniar,vq_ctw,30,nearest,1024.0,7.5,344.0,0.9909157784155612,0.1185229011991173,5.6672010756606,5.6672010756606
tol_7p5km_int_30min,abnovk,direct_ctw,30,linear,,7.5,995.0,0.918339948227258,0.7101797441623137,2.378902924207623,2.5769641459955004
tol_7p5km_int_30min,abnovk,direct_ctw,30,nearest,,7.5,144.0,0.9116481635121142,0.5683970032530316,2.3161854125970507,2.522206698660543
tol_7p5km_int_30min,abnovk,markov_order_1,30,linear,,7.5,995.0,0.8934433644163935,0.8837479633661187,2.378902924207623,2.5769641459955004
tol_7p5km_int_30min,abnovk,markov_order_1,30,nearest,,7.5,144.0,0.8518482037588948,0.8306958361919515,2.3161854125970507,2.522206698660543
tol_7p5km_int_30min,abnovk,markov_order_2,30,linear,,7.5,995.0,0.8826921666615439,0.9556630485809752,2.378902924207623,2.5769641459955004
tol_7p5km_int_30min,abnovk,markov_order_2,30,nearest,,7.5,144.0,0.825939046096265,0.9325514945756496,2.3161854125970507,2.522206698660543
tol_7p5km_int_30min,abnovk,vq_ctw,30,linear,256.0,7.5,995.0,1.0,0.0,5.354740841824982,5.354740841824982
tol_7p5km_int_30min,abnovk,vq_ctw,30,nearest,256.0,7.5,144.0,0.9169406785161348,0.4890446891302138,7.4986840408153155,7.4986840408153155
tol_7p5km_int_30min,abnovk,vq_ctw,30,linear,512.0,7.5,995.0,1.0,0.0,5.304837310428457,5.304837310428457
tol_7p5km_int_30min,abnovk,vq_ctw,30,nearest,512.0,7.5,144.0,0.9999999999985546,0.3002390439888623,6.511393760733142,6.511393760733142
tol_7p5km_int_30min,abnovk,vq_ctw,30,linear,1024.0,7.5,995.0,1.0,0.0,5.259197931147883,5.259197931147883
tol_7p5km_int_30min,abnovk,vq_ctw,30,nearest,1024.0,7.5,144.0,0.999999999998979,0.0938632571492382,7.06775457726534,7.06775457726534
tol_7p5km_int_30min,abtyff,direct_ctw,30,linear,,7.5,1007.0,0.9289151032272064,0.6406047244592874,2.056522306061084,2.2673845689051157
tol_7p5km_int_30min,abtyff,direct_ctw,30,nearest,,7.5,122.0,0.8849746941745246,0.707641382131878,2.3606282935698384,2.567464393092997
tol_7p5km_int_30min,abtyff,markov_order_1,30,linear,,7.5,1007.0,0.907487839634181,0.7970265847495014,2.056522306061084,2.2673845689051157
tol_7p5km_int_30min,abtyff,markov_order_1,30,nearest,,7.5,122.0,0.8201076549296851,0.982015977353578,2.3606282935698384,2.567464393092997
tol_7p5km_int_30min,abtyff,markov_order_2,30,linear,,7.5,1007.0,0.8981551029129373,0.8625763167508848,2.056522306061084,2.2673845689051157
tol_7p5km_int_30min,abtyff,markov_order_2,30,nearest,,7.5,122.0,0.8052242430351242,1.0444963640125398,2.3606282935698384,2.567464393092997
tol_7p5km_int_30min,abtyff,vq_ctw,30,linear,256.0,7.5,1007.0,1.0,0.0,4.763164354028368,4.763164354028368
tol_7p5km_int_30min,abtyff,vq_ctw,30,nearest,256.0,7.5,122.0,0.861876686506555,0.7157974055463387,6.305841477983213,6.305841477983213
tol_7p5km_int_30min,abtyff,vq_ctw,30,linear,512.0,7.5,1007.0,1.0,0.0,4.765122496580471,4.765122496580471
tol_7p5km_int_30min,abtyff,vq_ctw,30,nearest,512.0,7.5,122.0,0.9999999999980906,0.339985014855698,6.728542285848553,6.728542285848553
tol_7p5km_int_30min,abtyff,vq_ctw,30,linear,1024.0,7.5,1007.0,1.0,0.0,4.649392358496489,4.649392358496489
tol_7p5km_int_30min,abtyff,vq_ctw,30,nearest,1024.0,7.5,122.0,0.9908081015886204,0.0712473684136004,6.084621779111185,6.084621779111185
tol_7p5km_int_30min,abwecn,direct_ctw,30,linear,,7.5,1007.0,0.9118539431939048,0.8112120536651638,2.180023119194769,2.3917267582281383
