scenario_subdir,user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
tol_5km_int_5min,abboip,direct_ctw,5,nearest,,5.0,95.0,0.9254375945315936,0.5781741048637734,1.6603462852422437,1.8583249793922445
tol_5km_int_5min,abboip,markov_order_1,5,nearest,,5.0,95.0,0.8589051638003905,0.8828901954993527,1.6603462852422437,1.8583249793922445
tol_5km_int_5min,abboip,markov_order_2,5,nearest,,5.0,95.0,0.8595673914542383,0.8424121693466627,1.6603462852422437,1.8583249793922445
tol_5km_int_5min,abboip,vq_ctw,5,nearest,256.0,5.0,95.0,1.0,0.0,4.2661781552180935,4.2661781552180935
tol_5km_int_5min,abboip,vq_ctw,5,nearest,512.0,5.0,95.0,1.0,0.0,4.337907774887778,4.337907774887778
tol_5km_int_5min,abboip,vq_ctw,5,nearest,1024.0,5.0,95.0,0.9628218317710112,0.2785129878283402,4.445459724400164,4.445459724400164
tol_5km_int_5min,abdrem,direct_ctw,5,nearest,,5.0,36.0,0.9024678352276304,0.8112012075938089,1.923457912217226,2.042446591844839
tol_5km_int_5min,abdrem,markov_order_1,5,nearest,,5.0,36.0,0.8864539024058561,1.113596257518114,1.923457912217226,2.042446591844839
tol_5km_int_5min,abdrem,markov_order_2,5,nearest,,5.0,36.0,0.8864539024058561,0.9944426674247512,1.923457912217226,2.042446591844839
tol_5km_int_5min,abdrem,vq_ctw,5,nearest,256.0,5.0,36.0,1.0,0.0,4.610772804708118,4.610772804708118
tol_5km_int_5min,abdrem,vq_ctw,5,nearest,512.0,5.0,36.0,1.0,0.0,5.156085088062422,5.156085088062422
tol_5km_int_5min,abdrem,vq_ctw,5,nearest,1024.0,5.0,36.0,0.9287701215058016,0.5663239382902824,4.997789644911965,4.997789644911965
tol_5km_int_5min,abgibo,direct_ctw,5,nearest,,5.0,85.0,0.9069420662826412,0.5310986073066495,1.8371171782445377,1.9780431484493288
tol_5km_int_5min,abgibo,markov_order_1,5,nearest,,5.0,85.0,0.8412213945661332,0.7960702681486178,1.8371171782445377,1.9780431484493288
tol_5km_int_5min,abgibo,markov_order_2,5,nearest,,5.0,85.0,0.8287227902941043,0.82794353381379,1.8371171782445377,1.9780431484493288
tol_5km_int_5min,abgibo,vq_ctw,5,nearest,256.0,5.0,85.0,1.0,0.0,5.448519502540641,5.448519502540641
tol_5km_int_5min,abgibo,vq_ctw,5,nearest,512.0,5.0,85.0,1.0,0.0,5.944854942443646,5.944854942443646
tol_5km_int_5min,abgibo,vq_ctw,5,nearest,1024.0,5.0,85.0,0.9999999999980904,0.4345625228428581,5.408592711650352,5.408592711650352
tol_5km_int_5min,abjool,direct_ctw,5,nearest,,5.0,18.0,1.0,0.0,1.1699685575300576,1.3421366946266509
