dominant_mode,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
taxi,direct_ctw,15,linear,,2.5,1007860.0,0.8273372956688559,1.7055037059641525,0.9685317413641574,1.0326206466451733
taxi,direct_ctw,15,nearest,,2.5,88930.0,0.8519233881189846,1.0862018191934615,0.9765257619472749,1.041357756584301
taxi,markov_order_1,15,linear,,2.5,1007860.0,0.6689383898982385,2.918222968059821,0.9685317413641574,1.0326206466451733
taxi,markov_order_1,15,nearest,,2.5,88930.0,0.5082863237631289,2.6111349959914496,0.9765257619472749,1.041357756584301
taxi,markov_order_2,15,linear,,2.5,1007860.0,0.6004501487251436,3.3859617793084147,0.9685317413641574,1.0326206466451733
taxi,markov_order_2,15,nearest,,2.5,88930.0,0.5250970447382154,2.5577165539993834,0.9765257619472749,1.041357756584301
taxi,vq_ctw,15,linear,256.0,2.5,1007860.0,0.810499016124838,1.8206206435922172,2.6937097178210365,2.6937097178210365
taxi,vq_ctw,15,linear,512.0,2.5,1007860.0,0.8558803576126744,1.2578364294140634,2.166331648123428,2.166331648123428
taxi,vq_ctw,15,linear,1024.0,2.5,1007860.0,0.8365077932447191,1.3779269551671078,2.499195903809922,2.499195903809922
taxi,vq_ctw,15,nearest,256.0,2.5,88930.0,0.8649212687263577,1.0277378572588876,2.3773731712708166,2.3773731712708166
taxi,vq_ctw,15,nearest,512.0,2.5,88930.0,0.865821722128037,1.0052482215313527,2.43121121577683,2.43121121577683
taxi,vq_ctw,15,nearest,1024.0,2.5,88930.0,0.864020899704908,1.01497204700355,2.3949755108161574,2.3949755108161574
