user_id,sample_interval_min,interpolation_method,tolerance_km,predictability_direct_ctw,predictability_markov_order_1,predictability_markov_order_2,predictability_vq_ctw_K1024,predictability_vq_ctw_K256,predictability_vq_ctw_K512,entropy_rate_bits_direct_ctw,entropy_rate_bits_markov_order_1,entropy_rate_bits_markov_order_2,entropy_rate_bits_vq_ctw_K1024,entropy_rate_bits_vq_ctw_K256,entropy_rate_bits_vq_ctw_K512
abboip,30,linear,2.5,0.8270951374863951,0.6446642179504869,0.6048847882191416,0.842158873855849,0.8183807205926312,0.8213267078383919,1.5582121005930363,2.7758026404667873,3.0107373722800577,1.2604842410038002,1.6566413749105233,1.664079084335133
abboip,30,nearest,2.5,0.8595220787959691,0.46205414954801083,0.5023011606229473,0.8574869051916224,0.8657679281046186,0.8646235899107076,1.0683732100822023,2.866428857370524,2.7302143468171374,1.0470467267038246,1.0456885883164573,1.0295621931579622
abcoij,30,linear,2.5,0.9723335351145226,0.9388830401867697,0.9317920125895858,0.9709844661401478,0.9571095906421713,0.9444027370764367,0.2817340208240727,0.5509649765229824,0.6037234208355909,0.2708874275487952,0.42295930205516535,0.5458870253847381
abdrem,30,linear,2.5,0.7762860508950257,0.46488647488884216,0.3770662297031506,0.790979249373195,0.7815970983932683,0.7828490207315354,2.1516414104414814,4.30869833991304,4.811794362771138,1.7939898117432749,2.0913599731547476,2.0674771496235165
abdrem,30,nearest,2.5,0.8605655422364185,0.4959076685829357,0.5217932515840864,0.8792434657533964,0.879357091734799,0.8844981113834265,1.0362496882339207,2.646584995567589,2.562030472683989,0.9635810653882856,0.9543382977774921,0.954476033432266
abgibo,30,linear,2.5,0.7850404694612491,0.5193221861263351,0.4301375372453127,0.8029932774364477,0.779972991294366,0.7835251407517503,2.0684041610354162,3.945132841530088,4.478719222595547,1.6419192170504247,2.054557170400131,2.057369484924802
abgibo,30,nearest,2.5,0.8695227866402888,0.47917373472596037,0.4860533569590469,0.8800705255409087,0.8850236475110735,0.8811859417757313,1.0265014106174204,2.865890778407298,2.841918136032093,1.0088760055901118,0.9746514396510945,0.9901358040947021
abjool,30,linear,2.5,0.952733375713255,0.8735126173116248,0.8713952336103679,0.9483985381657603,0.9497260124762862,0.9487484796254768,0.5131017807789148,1.1857777224056736,1.2023324250353744,0.5040803484972072,0.5513939406090277,0.568054190683195
abjool,30,nearest,2.5,0.8764475409690677,0.46068539423875926,0.46870759036398235,0.8804415160258608,0.881261902947846,0.8866731770969178,1.0098948795843028,3.0488977427739523,3.019991506571507,1.0063243439478284,0.9896194083337022,0.9730889978284463
abmuya,30,linear,2.5,0.8049776640248905,0.5947194394246178,0.5249213606875358,0.820350165390933,0.8004933586920189,0.798130341892233,1.8125383744666206,3.2613010363078994,3.679482734963287,1.4804465675639424,1.8291176450468825,1.8819450317624242
abniar,30,linear,2.5,0.7875500964868185,0.5439164612907038,0.4553686095460745,0.8141014938585698,0.7804018373711945,0.786207911528773,2.025591078096142,3.741130722520644,4.274215314217409,1.5864922639185859,2.0669636504316213,2.0216289907826894
abniar,30,nearest,2.5,0.864790503508873,0.480573032617704,0.4893211876851217,0.8685418992691213,0.8732453708725402,0.8755617719658972,1.0544794964910873,2.871204684806851,2.839781489660132,1.0218847962510922,1.0189364241833139,1.0088494788040316
abnovk,30,linear,2.5,0.8293881231795928,0.6203274239376109,0.5770880821508676,0.8301520845264112,0.8132196546060289,0.8294227359577013,1.5960779455377647,3.0429164570907172,3.3053549016485513,1.4033827137712032,1.7263802024133412,1.6116912354929678
abnovk,30,nearest,2.5,0.8584135419187994,0.49342553310757276,0.5046443563506736,0.8762097020230668,0.8751378916992787,0.8861689036934732,1.0672048855596679,2.7210249462872027,2.683416478734753,0.9792571057130108,1.0122897140993585,0.9533368526257711
abtyff,30,linear,2.5,0.8121558115229286,0.6047771380688296,0.5550474952323192,0.8139332667918184,0.8058229936571728,0.8044103061250376,1.722462324362335,3.1257796530259925,3.4204266380050368,1.4015925634296258,1.7435241742163585,1.7871691669137737
abtyff,30,nearest,2.5,0.8575501714555884,0.4854129681189371,0.4948577120533836,0.867630570565596,0.872478570107515,0.8765772340714377,1.0958617196023006,2.8280572132344632,2.7951740171823927,1.031073963395781,1.035625774034344,1.0392689902823
abwecn,30,linear,2.5,0.7923212634335479,0.5784645806414368,0.49800743244123113,0.8579538084443019,0.7914381160220356,0.8013409506523543,1.9483894662856005,3.4409316433312673,3.9280559785335263,1.2796303185737767,1.9706770571385335,1.877994458218449
abwecn,30,nearest,2.5,0.8447105876752191,0.4867739732365268,0.5139917869430997,0.8534660790389995,0.8727091072058903,0.8712152447642407,1.1490787822306665,2.740953372063125,2.649533922716148,1.094752338537438,1.0232153661707069,1.0429956660829038
abyalw,30,linear,2.5,0.8350204220325971,0.6783751720500802,0.6546633330869188,0.8482383099028394,0.8222064648573828,0.8255621213750456,1.4634315165733187,2.4995321896730665,2.64069984812699,1.1758164179502733,1.5476396797199357,1.602316773643007
abyalw,30,nearest,2.5,0.8511633934487135,0.4835855908756257,0.5177689409620283,0.8564836585953478,0.8700090406718171,0.8681061376189225,1.0908780643244924,2.6852840078999307,2.573880085684096,1.0655959548589504,1.0328803600309238,1.0324363664739977
acdiyi,30,linear,2.5,0.8446233981951465,0.6117048379380815,0.5365752692450038,0.8573792426024867,0.845751042651718,0.8385244654484774,1.555392893516316,3.2934615116788923,3.7766850031275365,1.2692070585327118,1.523959424570622,1.5713759954371747
acduou,30,linear,2.5,0.8094594231509469,0.6035508066122677,0.5368379959253788,0.833406099728806,0.8018925584322789,0.8078009463491281,1.772430988687527,3.1947827613750674,3.596601129667921,1.4136802214434008,1.8582128310451882,1.8069500007372377
acduou,30,nearest,2.5,0.858885682078677,0.46237677395297566,0.5192022079135838,0.8592472469623968,0.8739339567818634,0.8516493335979353,1.0528027227980945,2.7743951553338198,2.59603570672334,1.016935539425978,0.9921553120295462,1.034900496271476
acgerl,30,linear,2.5,0.8210824822884151,0.6151807017447452,0.5665180455833739,0.861511909198457,0.8224612551560229,0.824814973485705,1.5879394655315455,2.91912862656582,3.1925185647560053,1.1885491751949688,1.6195114600570382,1.637074923340852
acgerl,30,nearest,2.5,0.8557952451512552,0.4980205920874181,0.49555481190328443,0.8755901700343875,0.8652009069330205,0.8270429524120854,1.0940121230233026,2.736552130559422,2.7450366183111967,0.9879099013533914,1.083682322691054,1.1832958957547035
acitva,30,linear,2.5,0.8022205811715462,0.5082384452107197,0.42072656544057674,0.8195290921424179,0.8066841406537839,0.8046840347809212,1.9214395024058677,3.9933843456023084,4.50809617488931,1.5293987566999854,1.840797303564672,1.8566177355162508
