run_subdir,scenario_subdir,sample_interval_min,interpolation_method,tolerance_km,method,codebook_size,num_points,predictability,entropy_rate_bits,reconstruction_rmse_km,actual_distortion_km,num_users,scenario_label,experiment_label
sf_run_1980198_task_9,tol_10km_int_5min,5,nearest,10.0,direct_ctw,,48768.0,0.9399242152096108,0.5090330993159654,4.533848470055166,4.434474992939048,486,"5 min
10 km","5 min
10 km
nearest"
sf_run_1980198_task_9,tol_10km_int_5min,5,nearest,10.0,markov_order_1,,48768.0,0.9015480795543367,0.6850591614695335,4.533848470055166,4.434474992939048,486,"5 min
10 km","5 min
10 km
nearest"
sf_run_1980198_task_9,tol_10km_int_5min,5,nearest,10.0,markov_order_2,,48768.0,0.8983534772555416,0.6895910213067018,4.533848470055166,4.434474992939048,486,"5 min
10 km","5 min
10 km
nearest"
sf_run_1980198_task_9,tol_10km_int_5min,5,nearest,10.0,vq_ctw,256.0,48768.0,1.0,0.0,8.126322456799894,8.126322456799894,486,"5 min
10 km","5 min
10 km
nearest"
sf_run_1980198_task_9,tol_10km_int_5min,5,nearest,10.0,vq_ctw,512.0,48768.0,1.0,0.0,9.156565937455602,9.156565937455602,486,"5 min
10 km","5 min
10 km
nearest"
sf_run_1980198_task_9,tol_10km_int_5min,5,nearest,10.0,vq_ctw,1024.0,48768.0,1.0,0.0,8.715145620115246,8.715145620115246,486,"5 min
10 km","5 min
10 km
nearest"
sf_run_1980198_task_1,tol_2p5km_int_15min,15,linear,2.5,direct_ctw,,1007860.0,0.8273372956688559,1.7055037059641525,1.0326206466451733,0.9685317413641574,531,"15 min
2.5 km","15 min
2.5 km
linear"
sf_run_1980198_task_1,tol_2p5km_int_15min,15,linear,2.5,markov_order_1,,1007860.0,0.6689383898982385,2.9182229680598204,1.0326206466451733,0.9685317413641574,531,"15 min
2.5 km","15 min
2.5 km
linear"
sf_run_1980198_task_1,tol_2p5km_int_15min,15,linear,2.5,markov_order_2,,1007860.0,0.6004501487251436,3.3859617793084142,1.0326206466451733,0.9685317413641574,531,"15 min
2.5 km","15 min
2.5 km
linear"
sf_run_1980198_task_1,tol_2p5km_int_15min,15,linear,2.5,vq_ctw,256.0,1007860.0,0.810499016124838,1.8206206435922172,2.6937097178210365,2.6937097178210365,531,"15 min
2.5 km","15 min
2.5 km
linear"
sf_run_1980198_task_1,tol_2p5km_int_15min,15,linear,2.5,vq_ctw,512.0,1007860.0,0.8558803576126744,1.2578364294140634,2.166331648123428,2.166331648123428,531,"15 min
2.5 km","15 min
2.5 km
linear"
sf_run_1980198_task_1,tol_2p5km_int_15min,15,linear,2.5,vq_ctw,1024.0,1007860.0,0.8365077932447191,1.3779269551671078,2.499195903809922,2.499195903809922,531,"15 min
2.5 km","15 min
2.5 km
linear"
sf_run_1980198_task_1,tol_2p5km_int_15min,15,nearest,2.5,direct_ctw,,88930.0,0.8519233881189846,1.0862018191934615,1.041357756584301,0.9765257619472749,465,"15 min
2.5 km","15 min
2.5 km
nearest"
sf_run_1980198_task_1,tol_2p5km_int_15min,15,nearest,2.5,markov_order_1,,88930.0,0.5082863237631289,2.6111349959914496,1.041357756584301,0.9765257619472749,465,"15 min
2.5 km","15 min
2.5 km
nearest"
sf_run_1980198_task_1,tol_2p5km_int_15min,15,nearest,2.5,markov_order_2,,88930.0,0.5250970447382155,2.5577165539993834,1.041357756584301,0.9765257619472749,465,"15 min
2.5 km","15 min
2.5 km
nearest"
sf_run_1980198_task_1,tol_2p5km_int_15min,15,nearest,2.5,vq_ctw,256.0,88930.0,0.8649212687263577,1.0277378572588878,2.3773731712708166,2.3773731712708166,465,"15 min
2.5 km","15 min
2.5 km
nearest"
sf_run_1980198_task_1,tol_2p5km_int_15min,15,nearest,2.5,vq_ctw,512.0,88930.0,0.865821722128037,1.0052482215313527,2.4312112157768304,2.4312112157768304,465,"15 min
2.5 km","15 min
2.5 km
nearest"
sf_run_1980198_task_1,tol_2p5km_int_15min,15,nearest,2.5,vq_ctw,1024.0,88930.0,0.864020899704908,1.01497204700355,2.3949755108161574,2.3949755108161574,465,"15 min
2.5 km","15 min
2.5 km
nearest"
sf_run_1980198_task_4,tol_5km_int_15min,15,linear,5.0,direct_ctw,,1007860.0,0.8777041873526822,1.1313994458149195,1.8019028636133319,1.6401038707318103,531,"15 min
5 km","15 min
5 km
linear"
sf_run_1980198_task_4,tol_5km_int_15min,15,linear,5.0,markov_order_1,,1007860.0,0.8251212598636396,1.5229005450640332,1.8019028636133319,1.6401038707318103,531,"15 min
5 km","15 min
5 km
linear"
sf_run_1980198_task_4,tol_5km_int_15min,15,linear,5.0,markov_order_2,,1007860.0,0.8033717638195219,1.6764531012167019,1.8019028636133319,1.6401038707318103,531,"15 min
5 km","15 min
5 km
linear"
sf_run_1980198_task_4,tol_5km_int_15min,15,linear,5.0,vq_ctw,256.0,1007860.0,0.9941255899074668,0.06420310164039622,4.694090858655134,4.694090858655134,531,"15 min
5 km","15 min
5 km
linear"
sf_run_1980198_task_4,tol_5km_int_15min,15,linear,5.0,vq_ctw,512.0,1007860.0,0.9821170897750751,0.1744897873116615,4.498696466392354,4.498696466392354,531,"15 min
5 km","15 min
5 km
linear"
sf_run_1980198_task_4,tol_5km_int_15min,15,linear,5.0,vq_ctw,1024.0,1007860.0,0.9941162095519379,0.06130496159660795,4.785004375455638,4.785004375455638,531,"15 min
5 km","15 min
5 km
linear"
sf_run_1980198_task_4,tol_5km_int_15min,15,nearest,5.0,direct_ctw,,88930.0,0.8382683710342502,0.9557902434886797,1.8072287314460391,1.6258184254793913,465,"15 min
5 km","15 min
5 km
nearest"
sf_run_1980198_task_4,tol_5km_int_15min,15,nearest,5.0,markov_order_1,,88930.0,0.7037517220884479,1.4708644881760335,1.8072287314460391,1.6258184254793913,465,"15 min
5 km","15 min
5 km
nearest"
sf_run_1980198_task_4,tol_5km_int_15min,15,nearest,5.0,markov_order_2,,88930.0,0.7035011738819896,1.4746815967932272,1.8072287314460391,1.6258184254793913,465,"15 min
5 km","15 min
5 km
nearest"
sf_run_1980198_task_4,tol_5km_int_15min,15,nearest,5.0,vq_ctw,256.0,88930.0,0.9810442553177924,0.20837777749751232,4.296847467214281,4.296847467214281,465,"15 min
5 km","15 min
5 km
nearest"
sf_run_1980198_task_4,tol_5km_int_15min,15,nearest,5.0,vq_ctw,512.0,88930.0,0.9975417174115369,0.07397460814227681,4.3512524544368425,4.3512524544368425,465,"15 min
5 km","15 min
5 km
nearest"
sf_run_1980198_task_4,tol_5km_int_15min,15,nearest,5.0,vq_ctw,1024.0,88930.0,0.9940471720286248,0.06893147183885401,4.465629398563786,4.465629398563786,465,"15 min
5 km","15 min
5 km
nearest"
sf_run_1980198_task_7,tol_7p5km_int_15min,15,linear,7.5,direct_ctw,,1007860.0,0.9367119897297138,0.6030535179229296,2.439983158162476,2.241468153135537,531,"15 min
7.5 km","15 min
7.5 km
linear"
sf_run_1980198_task_7,tol_7p5km_int_15min,15,linear,7.5,markov_order_1,,1007860.0,0.9161623624828308,0.764066898048659,2.439983158162476,2.241468153135537,531,"15 min
7.5 km","15 min
7.5 km
linear"
sf_run_1980198_task_7,tol_7p5km_int_15min,15,linear,7.5,markov_order_2,,1007860.0,0.9083468695831269,0.8235136935986541,2.439983158162476,2.241468153135537,531,"15 min
7.5 km","15 min
7.5 km
linear"
sf_run_1980198_task_7,tol_7p5km_int_15min,15,linear,7.5,vq_ctw,256.0,1007860.0,1.0,0.0,6.409732390289023,6.409732390289023,531,"15 min
7.5 km","15 min
7.5 km
linear"
sf_run_1980198_task_7,tol_7p5km_int_15min,15,linear,7.5,vq_ctw,512.0,1007860.0,1.0,0.0,6.262330791731054,6.262330791731054,531,"15 min
7.5 km","15 min
7.5 km
linear"
sf_run_1980198_task_7,tol_7p5km_int_15min,15,linear,7.5,vq_ctw,1024.0,1007860.0,1.0,0.0,6.239986763664645,6.239986763664645,531,"15 min
7.5 km","15 min
7.5 km
linear"
sf_run_1980198_task_7,tol_7p5km_int_15min,15,nearest,7.5,direct_ctw,,88930.0,0.9421424910181392,0.4304153585593479,2.3969933264782335,2.2237627841299235,465,"15 min
7.5 km","15 min
7.5 km
nearest"
sf_run_1980198_task_7,tol_7p5km_int_15min,15,nearest,7.5,markov_order_1,,88930.0,0.9125594451942323,0.5725456403582321,2.3969933264782335,2.2237627841299235,465,"15 min
7.5 km","15 min
7.5 km
nearest"
sf_run_1980198_task_7,tol_7p5km_int_15min,15,nearest,7.5,markov_order_2,,88930.0,0.9062382260339789,0.5995818431396706,2.3969933264782335,2.2237627841299235,465,"15 min
7.5 km","15 min
7.5 km
nearest"
sf_run_1980198_task_7,tol_7p5km_int_15min,15,nearest,7.5,vq_ctw,256.0,88930.0,1.0,0.0,6.340112290048994,6.340112290048994,465,"15 min
7.5 km","15 min
7.5 km
nearest"
sf_run_1980198_task_7,tol_7p5km_int_15min,15,nearest,7.5,vq_ctw,512.0,88930.0,1.0,0.0,6.324302333637067,6.324302333637067,465,"15 min
7.5 km","15 min
7.5 km
nearest"
sf_run_1980198_task_7,tol_7p5km_int_15min,15,nearest,7.5,vq_ctw,1024.0,88930.0,0.9999797936765756,0.0005394850903462564,6.722820021314931,6.722820021314931,465,"15 min
7.5 km","15 min
7.5 km
nearest"
sf_run_1980198_task_10,tol_10km_int_15min,15,linear,10.0,direct_ctw,,1007860.0,0.8706949600747369,1.0169052612037293,4.49334144331094,4.333951463679988,531,"15 min
10 km","15 min
10 km
linear"
sf_run_1980198_task_10,tol_10km_int_15min,15,linear,10.0,markov_order_1,,1007860.0,0.8450321895818074,1.1769391219625007,4.49334144331094,4.333951463679988,531,"15 min
10 km","15 min
10 km
linear"
sf_run_1980198_task_10,tol_10km_int_15min,15,linear,10.0,markov_order_2,,1007860.0,0.8391385019430208,1.2134791879939415,4.49334144331094,4.333951463679988,531,"15 min
10 km","15 min
10 km
linear"
sf_run_1980198_task_10,tol_10km_int_15min,15,linear,10.0,vq_ctw,256.0,1007860.0,1.0,0.0,6.826988600311193,6.826988600311193,531,"15 min
10 km","15 min
10 km
linear"
