dominant_mode,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
taxi,direct_ctw,5,linear,,2.5,3024178.0,0.863153851510806,1.4591851021873754,0.9687215957468913,1.0328124276149757
taxi,direct_ctw,5,nearest,,2.5,1413.0,0.8452971012622309,0.9854034028605286,1.000282601206279,1.0588199214309848
taxi,markov_order_1,5,linear,,2.5,3024178.0,0.8159289478211793,1.8791368339187446,0.9687215957468913,1.0328124276149757
taxi,markov_order_1,5,nearest,,2.5,1413.0,0.6313860074810468,1.8398147141941767,1.000282601206279,1.0588199214309848
taxi,markov_order_2,5,linear,,2.5,3024178.0,0.7712866053900996,2.2547399399071857,0.9687215957468913,1.0328124276149757
taxi,markov_order_2,5,nearest,,2.5,1413.0,0.619321969811011,1.8833637771087581,1.000282601206279,1.0588199214309848
taxi,vq_ctw,5,linear,256.0,2.5,3024178.0,0.9112020308609113,0.8839791546326143,2.222318256207684,2.222318256207684
taxi,vq_ctw,5,linear,512.0,2.5,3024178.0,0.8639229550813183,1.2606253106444139,2.207075552022086,2.207075552022086
taxi,vq_ctw,5,linear,1024.0,2.5,3024178.0,0.9283706445269005,0.6788289842584361,2.1795275831598286,2.1795275831598286
taxi,vq_ctw,5,nearest,256.0,2.5,1413.0,0.8685812904695278,0.9148649082675496,4.515126363037117,4.515126363037117
taxi,vq_ctw,5,nearest,512.0,2.5,1413.0,0.8702022626371997,0.9389078241668706,3.057393768717588,3.057393768717588
taxi,vq_ctw,5,nearest,1024.0,2.5,1413.0,0.8734952757510728,0.9216671999403414,3.2093469567001045,3.2093469567001045
