dominant_mode,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
taxi,direct_ctw,5,nearest,,7.5,48768.0,0.9976703472625824,0.08812280678763192,2.048634081198031,2.1886859920546526
taxi,markov_order_1,5,nearest,,7.5,48768.0,0.9963603511927911,0.10299936352400293,2.048634081198031,2.1886859920546526
taxi,markov_order_2,5,nearest,,7.5,48768.0,0.9961828289659295,0.1037324729908612,2.048634081198031,2.1886859920546526
taxi,vq_ctw,5,nearest,256.0,7.5,48768.0,1.0,0.0,5.803796876020238,5.803796876020238
taxi,vq_ctw,5,nearest,512.0,7.5,48768.0,1.0,0.0,6.641547846483791,6.641547846483791
taxi,vq_ctw,5,nearest,1024.0,7.5,48768.0,1.0,0.0,6.882688024558813,6.882688024558813
