user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
abwecn,markov_order_1,5,nearest,,7.5,71.0,0.9999999999995697,0.17483656779903753,1.8677337339050013,2.034365102351376
abwecn,markov_order_2,5,nearest,,7.5,71.0,0.9999999999995697,0.14569972186694607,1.8677337339050013,2.034365102351376
abwecn,vq_ctw,5,nearest,256.0,7.5,71.0,1.0,0.0,5.829554485467353,5.829554485467353
abwecn,vq_ctw,5,nearest,512.0,7.5,71.0,1.0,0.0,6.619402830878786,6.619402830878786
abwecn,vq_ctw,5,nearest,1024.0,7.5,71.0,1.0,0.0,6.6147775357788055,6.6147775357788055
abyalw,direct_ctw,5,nearest,,7.5,103.0,1.0,0.0,2.1620970953452643,2.2639745449659756
abyalw,markov_order_1,5,nearest,,7.5,103.0,1.0,0.0,2.1620970953452643,2.2639745449659756
abyalw,markov_order_2,5,nearest,,7.5,103.0,1.0,0.0,2.1620970953452643,2.2639745449659756
abyalw,vq_ctw,5,nearest,256.0,7.5,103.0,1.0,0.0,5.553678453343371,5.553678453343371
abyalw,vq_ctw,5,nearest,512.0,7.5,103.0,1.0,0.0,6.3211289254125305,6.3211289254125305
abyalw,vq_ctw,5,nearest,1024.0,7.5,103.0,1.0,0.0,6.300442816285204,6.300442816285204
acdiyi,direct_ctw,5,nearest,,7.5,59.0,1.0,0.0,1.789636893021996,1.8979121137558799
acdiyi,markov_order_1,5,nearest,,7.5,59.0,1.0,0.0,1.789636893021996,1.8979121137558799
acdiyi,markov_order_2,5,nearest,,7.5,59.0,1.0,0.0,1.789636893021996,1.8979121137558799
acdiyi,vq_ctw,5,nearest,256.0,7.5,59.0,1.0,0.0,6.171081446621899,6.171081446621899
acdiyi,vq_ctw,5,nearest,512.0,7.5,59.0,1.0,0.0,6.077735312435562,6.077735312435562
acdiyi,vq_ctw,5,nearest,1024.0,7.5,59.0,1.0,0.0,7.60690636032691,7.60690636032691
acduou,direct_ctw,5,nearest,,7.5,121.0,0.9999999999994635,0.12672896391103178,1.9646165020470663,2.1299159027369905
acduou,markov_order_1,5,nearest,,7.5,121.0,0.9999999999994635,0.14288250142254333,1.9646165020470663,2.1299159027369905
acduou,markov_order_2,5,nearest,,7.5,121.0,0.9999999999994635,0.14625190882780004,1.9646165020470663,2.1299159027369905
acduou,vq_ctw,5,nearest,256.0,7.5,121.0,1.0,0.0,5.921616164786785,5.921616164786785
acduou,vq_ctw,5,nearest,512.0,7.5,121.0,1.0,0.0,7.422961494939509,7.422961494939509
acduou,vq_ctw,5,nearest,1024.0,7.5,121.0,1.0,0.0,7.700060297065514,7.700060297065514
acgerl,direct_ctw,5,nearest,,7.5,20.0,0.9999999999980906,0.3287114832380569,1.9422146955640867,2.107052502420647
acgerl,markov_order_1,5,nearest,,7.5,20.0,0.9999999999980906,0.41133485623871174,1.9422146955640867,2.107052502420647
acgerl,markov_order_2,5,nearest,,7.5,20.0,0.9999999999980906,0.4094645434666278,1.9422146955640867,2.107052502420647
acgerl,vq_ctw,5,nearest,256.0,7.5,20.0,1.0,0.0,5.887464712729672,5.887464712729672
acgerl,vq_ctw,5,nearest,512.0,7.5,20.0,1.0,0.0,7.172155586687924,7.172155586687924
acgerl,vq_ctw,5,nearest,1024.0,7.5,20.0,1.0,0.0,7.6080815588694035,7.6080815588694035
acitva,direct_ctw,5,nearest,,7.5,112.0,1.0,0.0,2.0085200752000136,2.1161507305369147
acitva,markov_order_1,5,nearest,,7.5,112.0,1.0,0.0,2.0085200752000136,2.1161507305369147
acitva,markov_order_2,5,nearest,,7.5,112.0,1.0,0.0,2.0085200752000136,2.1161507305369147
acitva,vq_ctw,5,nearest,256.0,7.5,112.0,1.0,0.0,5.5463150915040185,5.5463150915040185
