user_id,sample_interval_min,interpolation_method,tolerance_km,predictability_direct_ctw,predictability_markov_order_1,predictability_markov_order_2,predictability_vq_ctw_K1024,predictability_vq_ctw_K256,predictability_vq_ctw_K512,entropy_rate_bits_direct_ctw,entropy_rate_bits_markov_order_1,entropy_rate_bits_markov_order_2,entropy_rate_bits_vq_ctw_K1024,entropy_rate_bits_vq_ctw_K256,entropy_rate_bits_vq_ctw_K512
abboip,15,linear,7.5,0.954421270550484,0.9431677930397432,0.939377272180567,1.0,1.0,1.0,0.43597152788917787,0.525043602898591,0.5542427219819256,0.0,0.0,0.0
abboip,15,nearest,7.5,0.9444161156039068,0.9087941643718606,0.9059686833225017,1.0,1.0,1.0,0.42754397619602513,0.5984493347679013,0.6024174375416459,0.0,0.0,0.0
abcoij,15,linear,7.5,0.9952745666222753,0.9949244649605241,0.9944233249833931,1.0,1.0,1.0,0.048032228081829074,0.051066237016369,0.0553487443910578,0.0,0.0,0.0
abdrem,15,linear,7.5,0.9024424718801265,0.862211524682792,0.8531144509899817,1.0,1.0,1.0,0.930198638781091,1.2408157003708429,1.308122163080085,0.0,0.0,0.0
abgibo,15,linear,7.5,0.9254323799387424,0.9014959689221698,0.8876260139506008,1.0,1.0,1.0,0.7152716423762825,0.9035074580511626,1.0081594562843228,0.0,0.0,0.0
abgibo,15,nearest,7.5,0.9394939320987661,0.8940087975539941,0.8810017069581223,1.0,1.0,1.0,0.45674406720204774,0.6762243967944417,0.7344527607600168,0.0,0.0,0.0
abjool,15,linear,7.5,0.983583648513501,0.9770450324421753,0.9744970224409886,1.0,1.0,1.0,0.17966831517529677,0.24001761493919097,0.262739150010821,0.0,0.0,0.0
abjool,15,nearest,7.5,0.9411521413807099,0.9268499683106871,0.9158263933060213,1.0,1.0,1.0,0.4933553549437487,0.584985558577571,0.6027438864463803,0.0,0.0,0.0
abmuya,15,linear,7.5,0.9508698184208775,0.9341815297366749,0.9262151819266935,1.0,1.0,1.0,0.4913919281313764,0.6297136674078386,0.6933242561717825,0.0,0.0,0.0
abmuya,15,nearest,7.5,0.9720060732488451,0.955943032773628,0.9500524919061288,1.0,1.0,1.0,0.33328463230403216,0.4100382425526336,0.4326886261382489,0.0,0.0,0.0
abniar,15,linear,7.5,0.9343297090372698,0.9116412495487519,0.897685517032301,1.0,1.0,1.0,0.64661784609195,0.8306639656920682,0.9391155899868153,0.0,0.0,0.0
abniar,15,nearest,7.5,0.93388961078209,0.9015668295636303,0.9061106480056402,1.0,1.0,1.0,0.4419350721560534,0.5881497859749409,0.5656962916509619,0.0,0.0,0.0
abnovk,15,linear,7.5,0.9429931890181487,0.926837980280708,0.9216645568513493,1.0,1.0,1.0,0.5434739046064152,0.6702624878092904,0.7096284639147334,0.0,0.0,0.0
