sample_interval_min,interpolation_method,codebook_size,raw_code,num_occurrences,dominant_mode,top_modes,mean_speed_kmh,mean_step_km,mean_radius_of_gyration_km
15,linear,256,78,1007860,taxi,taxi:1007860,7.297440052032471,1.8243600130081177,5.926679009181401
15,linear,512,211,1007860,taxi,taxi:1007860,7.297440052032471,1.8243600130081177,5.926679009181401
15,linear,1024,240,1007860,taxi,taxi:1007860,7.297440052032471,1.8243600130081177,5.926679009181401
15,nearest,256,148,88930,taxi,taxi:88930,11.316548347473145,2.829137086868286,3.910956638660686
15,nearest,512,241,88930,taxi,taxi:88930,11.316548347473145,2.829137086868286,3.910956638660686
15,nearest,1024,189,1,taxi,taxi:1,50.91802978515625,12.729507446289062,4.289350509643555
15,nearest,1024,264,2,taxi,taxi:2,75.56535339355469,18.891338348388672,4.9098135232925415
15,nearest,1024,270,1,taxi,taxi:1,71.7895278930664,17.9473819732666,5.905625820159912
15,nearest,1024,322,88921,taxi,taxi:88921,11.313763618469238,2.8284409046173096,3.9109225194759665
15,nearest,1024,414,1,taxi,taxi:1,16.371702194213867,4.092925548553467,3.7913990020751953
15,nearest,1024,517,4,taxi,taxi:4,14.799437522888184,3.699859380722046,3.6066298484802246
