dominant_mode,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
taxi,direct_ctw,5,nearest,,5.0,48768.0,0.9389050365335398,0.5127290888089777,1.5801285825740528,1.7511828684890423
taxi,markov_order_1,5,nearest,,5.0,48768.0,0.8982492641022616,0.6974145629532957,1.5801285825740528,1.7511828684890423
taxi,markov_order_2,5,nearest,,5.0,48768.0,0.894866329880634,0.7024305373464508,1.5801285825740528,1.7511828684890423
taxi,vq_ctw,5,nearest,256.0,5.0,48768.0,1.0,0.0,4.499732103044046,4.499732103044046
taxi,vq_ctw,5,nearest,512.0,5.0,48768.0,0.999674702811005,0.008304199492001132,4.547309383724145,4.547309383724145
taxi,vq_ctw,5,nearest,1024.0,5.0,48768.0,0.9896119868034262,0.31203809104049285,4.43573250530717,4.43573250530717
