dominant_mode,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
taxi,direct_ctw,30,linear,,7.5,503760.0,0.9101611061799096,0.788556857344552,2.2415442911103503,2.440231167529184
taxi,direct_ctw,30,nearest,,7.5,61078.0,0.9074932906885672,0.6047685031609484,2.3065720901533684,2.493277168304076
taxi,markov_order_1,30,linear,,7.5,503760.0,0.8775313603389139,1.0177315228898716,2.2415442911103503,2.440231167529184
taxi,markov_order_1,30,nearest,,7.5,61078.0,0.8523220098207729,0.8507381491694448,2.3065720901533684,2.493277168304076
taxi,markov_order_2,30,linear,,7.5,503760.0,0.8644226494975151,1.1060436113071501,2.2415442911103503,2.440231167529184
taxi,markov_order_2,30,nearest,,7.5,61078.0,0.8411349226188626,0.8967011287984898,2.3065720901533684,2.493277168304076
taxi,vq_ctw,30,linear,256.0,7.5,503760.0,1.0,0.0,6.318021310697977,6.318021310697977
taxi,vq_ctw,30,linear,512.0,7.5,503760.0,0.9999999999999923,5.6206594204132116e-05,6.315152561080791,6.315152561080791
taxi,vq_ctw,30,linear,1024.0,7.5,503760.0,1.0,0.0,6.245695368054125,6.245695368054125
taxi,vq_ctw,30,nearest,256.0,7.5,61078.0,0.9011691538753854,0.5544724923297826,6.768593776253359,6.768593776253359
taxi,vq_ctw,30,nearest,512.0,7.5,61078.0,0.989397407362035,0.2677852182936968,6.356662269615248,6.356662269615248
taxi,vq_ctw,30,nearest,1024.0,7.5,61078.0,0.9936280299890394,0.08802552469251225,6.013498071693609,6.013498071693609
