user_id,trajectory_id,segment_id,sample_interval_min,interpolation_method,tolerance_km,dominant_mode,num_points,actual_distortion_km,reconstruction_rmse_km,codebook_size,eligible_for_vq,method,entropy_rate_bits,predictability,alphabet_size
abboip,abboip,abboip_seg000,30,linear,7.5,taxi,1007,2.255856605744244,2.426025423079756,,True,direct_ctw,0.5486067801758595,0.9381641461214135,12.0
abboip,abboip,abboip_seg000,30,linear,7.5,taxi,1007,2.255856605744244,2.426025423079756,,True,markov_order_1,0.6640260899836729,0.9221284374062377,12.0
abboip,abboip,abboip_seg000,30,linear,7.5,taxi,1007,2.255856605744244,2.426025423079756,,True,markov_order_2,0.708012454480051,0.9158115377932387,12.0
abcoij,abcoij,abcoij_seg000,30,linear,7.5,taxi,574,2.0584399903601023,2.259849636143439,,True,direct_ctw,0.08486670281185794,0.9907709663956855,3.0
abcoij,abcoij,abcoij_seg000,30,linear,7.5,taxi,574,2.0584399903601023,2.259849636143439,,True,markov_order_1,0.09145535926723214,0.98991312875198,3.0
abcoij,abcoij,abcoij_seg000,30,linear,7.5,taxi,574,2.0584399903601023,2.259849636143439,,True,markov_order_2,0.09992318368669156,0.9887898409787569,3.0
abdrem,abdrem,abdrem_seg000,30,linear,7.5,taxi,1003,2.2569865716156294,2.452042721925426,,True,direct_ctw,1.2151074620567837,0.8615286302221693,25.0
abdrem,abdrem,abdrem_seg000,30,linear,7.5,taxi,1003,2.2569865716156294,2.452042721925426,,True,markov_order_1,1.6068245109044081,0.8048578916926359,25.0
abdrem,abdrem,abdrem_seg000,30,linear,7.5,taxi,1003,2.2569865716156294,2.452042721925426,,True,markov_order_2,1.7419332445842097,0.7841884579096359,25.0
abgibo,abgibo,abgibo_seg000,30,linear,7.5,taxi,1007,2.1913211050506964,2.398991064565179,,True,direct_ctw,0.9183577870033622,0.8966759728783724,20.0
abgibo,abgibo,abgibo_seg000,30,linear,7.5,taxi,1007,2.1913211050506964,2.398991064565179,,True,markov_order_1,1.2103008509986968,0.8554160927007783,20.0
abgibo,abgibo,abgibo_seg000,30,linear,7.5,taxi,1007,2.1913211050506964,2.398991064565179,,True,markov_order_2,1.3328789656403446,0.8371470198901612,20.0
abjool,abjool,abjool_seg000,30,linear,7.5,taxi,1007,2.187895663323677,2.311032526647296,,True,direct_ctw,0.24456890355347982,0.9748903701829074,9.0
abjool,abjool,abjool_seg000,30,linear,7.5,taxi,1007,2.187895663323677,2.311032526647296,,True,markov_order_1,0.31902153176694814,0.9656227105578874,9.0
abjool,abjool,abjool_seg000,30,linear,7.5,taxi,1007,2.187895663323677,2.311032526647296,,True,markov_order_2,0.33340744816795204,0.9637718104049602,9.0
abmuya,abmuya,abmuya_seg000,30,linear,7.5,taxi,993,2.1683760860186476,2.3646394601747285,,True,direct_ctw,0.6626747105417908,0.9269404359211523,16.0
abmuya,abmuya,abmuya_seg000,30,linear,7.5,taxi,993,2.1683760860186476,2.3646394601747285,,True,markov_order_1,0.8447931079717905,0.9020992495926436,16.0
abmuya,abmuya,abmuya_seg000,30,linear,7.5,taxi,993,2.1683760860186476,2.3646394601747285,,True,markov_order_2,0.9271226355604815,0.8903683686795754,16.0
abniar,abniar,abniar_seg000,30,linear,7.5,taxi,1007,2.250204546732493,2.4603703645514567,,True,direct_ctw,0.8103134049448201,0.9119707446944577,21.0
abniar,abniar,abniar_seg000,30,linear,7.5,taxi,1007,2.250204546732493,2.4603703645514567,,True,markov_order_1,1.0772014505987282,0.8759255268661703,21.0
abniar,abniar,abniar_seg000,30,linear,7.5,taxi,1007,2.250204546732493,2.4603703645514567,,True,markov_order_2,1.225028083505209,0.8548309118479844,21.0
abnovk,abnovk,abnovk_seg000,30,linear,7.5,taxi,995,2.378902924207623,2.5769641459955004,,True,direct_ctw,0.7101797441623137,0.9183399482272581,14.0
abnovk,abnovk,abnovk_seg000,30,linear,7.5,taxi,995,2.378902924207623,2.5769641459955004,,True,markov_order_1,0.8837479633661187,0.8934433644163935,14.0
abnovk,abnovk,abnovk_seg000,30,linear,7.5,taxi,995,2.378902924207623,2.5769641459955004,,True,markov_order_2,0.9556630485809752,0.8826921666615439,14.0
abtyff,abtyff,abtyff_seg000,30,linear,7.5,taxi,1007,2.056522306061084,2.2673845689051153,,True,direct_ctw,0.6406047244592874,0.9289151032272065,15.0
abtyff,abtyff,abtyff_seg000,30,linear,7.5,taxi,1007,2.056522306061084,2.2673845689051153,,True,markov_order_1,0.7970265847495014,0.907487839634181,15.0
abtyff,abtyff,abtyff_seg000,30,linear,7.5,taxi,1007,2.056522306061084,2.2673845689051153,,True,markov_order_2,0.8625763167508848,0.8981551029129373,15.0
abwecn,abwecn,abwecn_seg000,30,linear,7.5,taxi,1007,2.1800231191947694,2.3917267582281383,,True,direct_ctw,0.8112120536651638,0.9118539431939047,21.0
abwecn,abwecn,abwecn_seg000,30,linear,7.5,taxi,1007,2.1800231191947694,2.3917267582281383,,True,markov_order_1,1.070862673889243,0.8768123880428642,21.0
abwecn,abwecn,abwecn_seg000,30,linear,7.5,taxi,1007,2.1800231191947694,2.3917267582281383,,True,markov_order_2,1.1928637039230179,0.8594875934934039,21.0
abyalw,abyalw,abyalw_seg000,30,linear,7.5,taxi,1007,2.0045612637098227,2.1448029534741546,,True,direct_ctw,0.3976283012079584,0.9562874130488095,10.0
abyalw,abyalw,abyalw_seg000,30,linear,7.5,taxi,1007,2.0045612637098227,2.1448029534741546,,True,markov_order_1,0.47422888642203,0.9460135125255139,10.0
abyalw,abyalw,abyalw_seg000,30,linear,7.5,taxi,1007,2.0045612637098227,2.1448029534741546,,True,markov_order_2,0.5148192864614863,0.9403948615936603,10.0
acdiyi,acdiyi,acdiyi_seg000,30,linear,7.5,taxi,1007,2.5188265122256226,2.785941442205959,,True,direct_ctw,0.8230768758454208,0.9063582787340296,17.0
acdiyi,acdiyi,acdiyi_seg000,30,linear,7.5,taxi,1007,2.5188265122256226,2.785941442205959,,True,markov_order_1,1.1267866753882467,0.8626304124474724,17.0
acdiyi,acdiyi,acdiyi_seg000,30,linear,7.5,taxi,1007,2.5188265122256226,2.785941442205959,,True,markov_order_2,1.2399063363931486,0.8453576407621226,17.0
acduou,acduou,acduou_seg000,30,linear,7.5,taxi,1007,2.265276675582914,2.4713238808255413,,True,direct_ctw,0.6234751713519424,0.933634876811126,18.0
