dominant_mode,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
taxi,direct_ctw,15,linear,,10.0,1007860.0,0.8706949600747369,1.0169052612037293,4.333951463679988,4.493341443310939
taxi,direct_ctw,15,nearest,,10.0,88930.0,0.8294428644077887,0.9528356896008107,4.351566293469503,4.494710948525672
taxi,markov_order_1,15,linear,,10.0,1007860.0,0.8450321895818074,1.1769391219625007,4.333951463679988,4.493341443310939
taxi,markov_order_1,15,nearest,,10.0,88930.0,0.7083052371746641,1.3827131145981462,4.351566293469503,4.494710948525672
taxi,markov_order_2,15,linear,,10.0,1007860.0,0.8391385019430208,1.2134791879939415,4.333951463679988,4.493341443310939
taxi,markov_order_2,15,nearest,,10.0,88930.0,0.7159193431880222,1.3595396468299943,4.351566293469503,4.494710948525672
taxi,vq_ctw,15,linear,256.0,10.0,1007860.0,1.0,0.0,6.826988600311193,6.826988600311193
taxi,vq_ctw,15,linear,512.0,10.0,1007860.0,1.0,0.0,6.791299497047136,6.791299497047136
taxi,vq_ctw,15,linear,1024.0,10.0,1007860.0,1.0,0.0,6.292741929042936,6.292741929042936
taxi,vq_ctw,15,nearest,256.0,10.0,88930.0,1.0,0.0,9.201402009821708,9.201402009821708
taxi,vq_ctw,15,nearest,512.0,10.0,88930.0,1.0,0.0,7.98609814280064,7.98609814280064
taxi,vq_ctw,15,nearest,1024.0,10.0,88930.0,1.0,0.0,8.629234792173616,8.629234792173616
