sample_interval_min,interpolation_method,codebook_size,raw_code,num_occurrences,dominant_mode,top_modes,mean_speed_kmh,mean_step_km,mean_radius_of_gyration_km
15,linear,256,4,3,taxi,taxi:3,4.658174991607666,1.1645437479019165,6.790796756744385
15,linear,256,7,237,taxi,taxi:237,19.163829803466797,4.790957450866699,6.513534024797915
15,linear,256,9,393,taxi,taxi:393,15.293267250061035,3.823316812515259,6.563293302938835
15,linear,256,31,279,taxi,taxi:279,8.040960311889648,2.010240077972412,5.131841859509868
15,linear,256,34,498,taxi,taxi:498,16.797082901000977,4.199270725250244,6.392789559191968
15,linear,256,44,322,taxi,taxi:322,9.986489295959473,2.496622323989868,6.402008383910848
15,linear,256,76,17,taxi,taxi:17,2.618685722351074,0.6546714305877686,6.285633031059714
15,linear,256,103,6,taxi,taxi:6,3.7734453678131104,0.9433613419532776,4.867355664571126
15,linear,256,124,2475,taxi,taxi:2475,4.593777656555176,1.148444414138794,5.129411697580357
15,linear,256,140,248,taxi,taxi:248,12.8626708984375,3.215667724609375,6.704714850071938
15,linear,256,147,507,taxi,taxi:507,6.039245128631592,1.509811282157898,4.725227360659567
15,linear,256,166,1166,taxi,taxi:1166,5.554438591003418,1.3886096477508545,5.031404248641654
15,linear,256,181,3,taxi,taxi:3,2.657249927520752,0.664312481880188,6.706539630889893
15,linear,256,196,1,taxi,taxi:1,0.2920731008052826,0.07301827520132065,7.922461986541748
15,linear,256,200,24,taxi,taxi:24,3.2739639282226562,0.8184909820556641,5.607446074485779
15,linear,256,222,2390,taxi,taxi:2390,1.0446845293045044,0.2611711323261261,3.962165570757878
15,linear,256,229,628,taxi,taxi:628,10.339162826538086,2.5847907066345215,6.4728787416105815
