user_id,sample_interval_min,interpolation_method,tolerance_km,predictability_direct_ctw,predictability_markov_order_1,predictability_markov_order_2,predictability_vq_ctw_K256,entropy_rate_bits_direct_ctw,entropy_rate_bits_markov_order_1,entropy_rate_bits_markov_order_2,entropy_rate_bits_vq_ctw_K256
abboip,15,linear,2.5,0.8456151285201849,0.7232141250856413,0.6858280732991182,0.8573149268624678,1.4584387139432828,2.352947726354789,2.602710731423768,1.1344805258481658
abcoij,15,linear,2.5,0.9844349063923206,0.963850630417237,0.9633553245503036,0.9695893660673094,0.17335452001251236,0.3581182189024013,0.36229216026184746,0.2974689443732137
abdrem,15,linear,2.5,0.7908532680297506,0.5701513684178696,0.4697348708578526,0.7828621333459324,2.1383083140744317,3.859936521201463,4.542973495265894,1.6032406772826495
abgibo,15,linear,2.5,0.8046354450919626,0.6214929006816717,0.5298556920023969,0.7910704684612572,1.9712825506029654,3.3956806593684545,4.026539752701693,1.5349004702578046
abjool,15,linear,2.5,0.9574213444129729,0.900327718277476,0.892993857341149,0.9577878236004774,0.48359043611863956,1.0054204708929873,1.067830093182974,0.40854820060458974
